ID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE12;VALUE11;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00024283;8.23;6.55;6.28;4.36;2.69;1.34;0.29;0.42;0.95;2.87;8.44;6.73;USW00024283;40.9781;-124.1086;61;CA
USW00024286;10.39;8.88;7.86;5.20;2.87;1.73;0.41;0.52;0.93;4.24;11.27;9.73;USW00024286;41.7803;-124.2367;17.1;CA
USC00040029;1.70;1.59;1.76;1.44;1.60;0.97;0.26;0.32;0.57;1.14;2.16;2.01;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040136;3.03;3.60;3.14;1.24;0.36;0.15;0.23;0.15;0.27;0.74;2.11;1.75;USC00040136;32.8358;-116.7775;516.6;CA
USC00040161;1.24;1.22;1.44;1.16;1.44;0.78;0.24;0.34;0.51;0.85;1.50;1.72;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040192;2.86;3.08;1.90;0.80;0.28;0.10;0.03;0.01;0.25;0.72;2.02;1.38;USC00040192;33.8647;-117.8425;102.1;CA
USC00040212;7.76;7.75;5.66;2.34;1.53;0.29;0.01;0.06;0.46;2.19;8.09;5.16;USC00040212;38.5731;-122.4406;522.7;CA
USC00040232;2.66;2.35;2.08;0.78;0.43;0.09;-77.77;0.02;0.18;0.62;2.41;1.60;USC00040232;37.9856;-121.7458;18.3;CA
USC00040343;4.90;4.83;4.33;2.61;1.12;0.40;0.11;0.03;0.44;1.44;3.99;2.91;USC00040343;36.4914;-118.8253;520.6;CA
USC00040379;5.22;4.64;4.26;1.97;0.99;0.31;0.07;0.05;0.38;1.50;4.24;2.62;USC00040379;37.0919;-119.5128;637;CA
USC00040383;6.36;6.28;5.81;2.87;1.59;0.37;-77.77;0.07;0.60;2.08;6.73;4.39;USC00040383;38.9072;-121.0839;393.8;CA
USC00040436;0.59;0.83;0.56;0.18;0.09;0.06;0.31;0.48;0.31;0.21;0.53;0.33;USC00040436;35.2761;-116.0628;293.2;CA
USC00040444;1.48;1.47;1.44;0.61;0.31;0.09;0.03;0.05;0.18;0.41;1.07;0.89;USC00040444;35.4186;-119.0508;143.3;CA
