ID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE12;VALUE11
AQC00914000;21.16;20.22;18.40;17.80;18.20;13.06;12.74;13.83;15.70;20.03;22.42;20.36
AQW00061705;14.48;12.66;11.66;11.02;10.62;5.86;6.47;6.30;7.63;10.11;14.52;11.30
CAW00064757;1.60;2.05;2.00;2.86;3.59;3.10;3.66;2.38;2.29;2.09;2.72;3.38
CQC00914080;3.84;4.42;2.40;5.03;3.80;5.04;10.16;12.42;11.65;10.99;5.88;7.76
CQC00914801;5.24;5.21;3.05;4.66;4.01;5.20;10.71;13.12;13.86;12.26;5.54;8.38
CQC00914855;3.56;2.60;1.93;2.32;2.77;4.50;8.27;12.15;10.21;11.32;4.21;5.92
CQC00914874;4.11;3.30;2.40;2.71;3.36;5.05;10.43;12.45;12.46;11.20;4.24;6.97
FMC00914213;7.26;5.87;6.45;4.87;8.41;12.58;14.97;13.69;12.41;10.39;9.86;9.18
FMC00914325;10.21;10.27;11.53;12.12;11.63;13.17;13.16;10.51;9.28;8.10;8.74;9.68
FMC00914395;18.14;13.60;15.78;19.52;18.48;15.58;16.03;14.81;15.50;11.52;18.85;15.53
FMC00914419;9.20;9.81;10.65;11.86;12.78;11.97;16.46;14.18;10.40;11.25;11.22;10.22
FMC00914429;7.67;6.32;5.67;5.87;8.35;13.28;15.39;14.79;14.18;11.67;9.34;9.66
FMC00914446;5.94;5.96;4.82;5.37;7.86;10.50;13.60;15.31;13.44;10.83;8.59;8.93
FMC00914482;10.88;8.62;11.07;17.14;15.73;13.77;13.99;13.12;12.50;13.47;14.57;14.19
FMC00914585;7.25;5.92;5.11;5.61;8.17;9.60;13.95;13.85;12.72;11.32;9.96;8.84
FMC00914590;14.86;13.30;15.60;15.43;14.61;12.86;14.56;12.78;11.02;10.31;10.70;10.57
FMC00914705;15.81;11.92;15.13;20.29;19.80;19.73;18.50;22.77;20.24;20.07;13.82;16.08
FMC00914720;12.71;10.42;12.50;12.36;13.24;12.96;13.10;13.09;14.24;12.39;12.92;13.08
FMC00914761;7.67;5.39;5.73;8.79;10.16;10.81;10.50;9.36;8.83;9.38;6.57;7.45
FMC00914808;6.58;5.83;5.21;5.36;7.11;10.43;15.78;16.25;12.98;10.22;9.25;8.60
FMC00914831;6.38;5.40;5.02;5.43;7.93;12.92;14.62;14.76;12.65;11.11;9.00;8.69
FMC00914892;5.57;4.80;4.65;4.68;6.10;10.25;11.85;15.61;11.70;10.28;7.12;8.91
FMC00914898;17.27;12.80;15.79;20.45;17.91;16.45;14.86;14.11;15.05;12.81;17.46;14.76
FMC00914911;7.52;6.12;8.20;8.43;10.90;12.48;12.58;14.94;10.93;10.04;9.51;8.56
FMW00040308;7.30;5.99;5.34;5.72;8.50;13.20;15.04;15.46;13.76;12.25;9.28;9.09
FMW00040504;13.21;10.02;14.13;17.75;18.35;15.77;16.09;14.82;14.90;15.27;15.91;15.00
FMW00040505;10.14;7.26;8.81;12.22;11.73;12.21;12.39;13.48;12.85;11.40;11.02;11.03
GQC00914001;3.90;3.58;2.59;3.24;4.57;7.12;12.20;17.60;11.92;11.40;6.71;8.67
GQC00914025;4.97;5.12;2.44;3.85;4.01;7.19;10.89;14.74;12.16;11.02;6.25;9.22
GQC00914156;5.05;4.27;2.93;3.92;4.66;7.73;12.79;15.76;13.21;10.56;6.28;9.50
GQC00914468;4.77;3.83;2.63;3.07;4.19;6.77;11.56;15.41;12.10;11.01;5.66;9.14
GQC00914950;4.95;3.81;3.53;2.88;3.58;4.64;8.74;12.04;8.76;7.89;4.61;7.16
GQW00041415;4.96;4.53;2.77;3.58;4.30;7.09;12.14;17.15;14.17;11.80;5.98;9.17
JQW00021603;1.91;1.32;2.14;1.84;1.01;0.90;1.33;2.03;2.71;3.66;2.74;4.88
MQW00022701;4.71;3.80;2.68;3.34;2.15;1.51;2.81;4.22;4.45;3.58;3.14;2.72
PSC00914519;10.39;9.00;8.90;8.48;12.66;17.80;16.72;13.17;12.48;12.42;11.75;11.63
