ID;LATITUDE;LONGITUDE;ELEVATION;STATE;NAME;GSNFLAG;HCNFLAG;WMOID;METHOD;field_11;field_12;field_13;field_14
USC00040029;41.1936;-120.9447;1278.6;CA;ADIN;RS;;;;;;;
USC00040136;32.8358;-116.7775;516.6;CA;ALPINE;;;;;;;;
USC00040192;33.8647;-117.8425;102.1;CA;ANAHEIM;;;;;;;;
USC00040212;38.5731;-122.4406;522.7;CA;ANGWIN;PAC;UNION;COL;;;;;
USC00040232;37.9856;-121.7458;18.3;CA;ANTIOCH;PUMP;PLT;#3;;;;;
USC00040343;36.4914;-118.8253;520.6;CA;ASH;MTN;;;;;;;
USC00040379;37.0919;-119.5128;637;CA;AUBERRY;2;NW;;;;;;
USC00040383;38.9072;-121.0839;393.8;CA;AUBURN;;;;;;;;
USC00040436;35.2761;-116.0628;293.2;CA;BAKER;;;;;;;;
USC00040449;36.9092;-119.0883;524.3;CA;BALCH;PWR;HOUSE;;;;;;
USC00040521;34.8928;-117.0219;676.7;CA;BARSTOW;;;;;;;;
USC00040673;37.0856;-122.0797;128;CA;BEN;LOMOND;#4;;;;;;
USC00040693;37.8744;-122.2606;94.5;CA;BERKELEY;HCN;;;;;;;
USC00040738;40.7406;-123.2078;381.9;CA;BIG;BAR;4;E;;;;;
USC00040741;34.2442;-116.9039;2060.4;CA;BIG;BEAR;LAKE;;;;;;
USC00040924;33.6131;-114.5972;81.7;CA;BLYTHE;HCN;;;;;;;
USC00040931;39.3886;-120.0936;1699.3;CA;BOCA;;;;;;;;
USC00040943;38.2119;-119.0142;2551.2;CA;BODIE;CA;ST;HISTORIC;PARK;;;;
USC00040983;33.2314;-116.4144;245.4;CA;BORREGO;DESERT;PARK;;;;;;
USC00041018;39.4539;-120.6556;1641.3;CA;BOWMAN;DAM;;;;;;;
USC00041048;32.9544;-115.5581;-30.5;CA;BRAWLEY;2;SW;HCN;;;;;
USC00041244;35.4047;-119.4731;82;CA;BUTTONWILLOW;;;;;;;;
USC00041277;38.2769;-120.3114;1431;CA;CALAVERAS;BIG;TREES;;;;;;
USC00041312;38.5961;-122.6014;121.9;CA;CALISTOGA;;;;;;;;
USC00041316;41.3111;-122.8045;970.8;CA;CALLAHAN;;;;;;;;
USC00041428;38.2486;-120.8433;200.6;CA;CAMP;PARDEE;;;;;;;
USC00041476;41.4219;-120.9017;1313.7;CA;CANBY;3;SW;;;;;;
USC00041484;34.1819;-118.5744;240.8;CA;CANOGA;PARK;PIERCE;CLG;;;;;
USC00041497;40.1703;-121.0883;1389.9;CA;CANYON;DAM;;;;;;;
USC00041606;41.1417;-123.1392;704.1;CA;CECILVILLE;;;;;;;;
USC00041614;41.5306;-120.1803;1408.5;CA;CEDARVILLE;HCN;;;;;;;
USC00041697;37.9747;-119.9161;1452.4;CA;CHERRY;VALLEY;DAM;;;;;;
USC00041700;40.3033;-121.2422;1380.7;CA;CHESTER;;;;;;;;
USC00041715;39.6911;-121.8211;56.4;CA;CHICO;UNIV;FARM;HCN;;;;;
USC00041758;32.64;-117.0858;17.1;CA;CHULA;VISTA;HCN;;;;;;
USC00041806;38.9239;-122.5672;411.2;CA;CLEARLAKE;4;SE;;;;;;
USC00041838;38.8;-123.0175;100.6;CA;CLOVERDALE;;;;;;;;
USC00041864;36.1356;-120.3606;204.2;CA;COALINGA;;;;;;;;
USC00041912;39.0911;-120.9481;725.4;CA;COLFAX;HCN;;;;;;;
USC00041948;39.1875;-122.0269;15.2;CA;COLUSA;2;SSW;;;;;;
USC00041967;37.9833;-122.0692;12.2;CA;CONCORD;WWTP;;;;;;;
USC00042012;36.0975;-119.5817;61;CA;CORCORAN;IRRIG;DIST;;;;;;
USC00042081;39.8158;-123.2444;430.7;CA;COVELO;;;;;;;;
USC00042147;41.7958;-124.2147;13.1;CA;CRESCENT;CITY;3;NNW;;;;;
USC00042214;34.0053;-118.4136;20.7;CA;CULVER;CITY;;;;;;;
USC00042294;38.535;-121.7761;18.3;CA;DAVIS;2;WSW;EXP;FARM;HCN;;;
USC00042319;36.4622;-116.8669;-59.1;CA;DEATH;VALLEY;HCN;;;;;;
USC00042402;39.8717;-121.6108;826;CA;DE;SABLA;;;;;;;
USC00042456;39.3575;-121.2011;499.9;CA;DOBBINS;1;S;;;;;;
USC00042467;39.3239;-120.2331;1809.6;CA;DONNER;MEM;SP;;;;;;
USC00042500;39.5633;-120.8239;888.5;CA;DOWNIEVILLE;;;;;;;;
USC00042506;39.9717;-120.0828;1338.1;CA;DOYLE;4;SSE;;;;;;
USC00042574;41.1833;-122.2736;661.4;CA;DUNSMUIR;TRTMNT;PLT;;;;;;
USC00042598;33.8089;-115.4508;296.6;CA;EAGLE;MTN;;;;;;;
USC00042640;39.3592;-122.5178;367.3;CA;EAST;PARK;RSVR;;;;;;
USC00042671;38.7833;-120.0333;2240.3;CA;ECHO;SUMT;SIERRA;AT;TA;;;;
USC00042706;32.8139;-116.975;123.4;CA;EL;CAJON;;;;;;;
USC00042713;32.7669;-115.5617;-9.1;CA;EL;CENTRO;2;SSW;;;;;
USC00042728;38.3306;-120.6706;217.9;CA;ELECTRA;P;H;HCN;;;;;
USC00042771;34.5892;-117.6303;899.2;CA;EL;MIRAGE;;;;;;;
USC00042863;33.1211;-117.0883;182.9;CA;ESCONDIDO;#2;;;;;;;
USC00042934;38.2736;-122.0678;12.2;CA;FAIRFIELD;;;;;;;;
USC00042941;34.705;-118.4242;932.7;CA;FAIRMONT;HCN;;;;;;;
USC00043113;38.7;-121.1667;106.7;CA;FOLSOM;DAM;;;;;;;
USC00043157;41.52;-120.09;1442.3;CA;FT;BIDWELL;;;;;;;
USC00043161;39.5092;-123.7567;37.5;CA;FT;BRAGG;5;N;HCN;;;;
USC00043244;37.5422;-122.0158;11.6;CA;FREMONT;;;;;;;;
USC00043256;36.7525;-119.7017;100;CA;FRESNO;5;NE;;;;;;
USC00043261;36.9969;-119.7072;125;CA;FRIANT;GOVERNMENT;CAMP;;;;;;
USC00043417;37.0067;-121.5633;59.1;CA;GILROY;;;;;;;;
USC00043489;32.8833;-114.8667;147.8;CA;GOLD;ROCK;RCH;;;;;;
USC00043551;36.7394;-118.9631;2011.7;CA;GRANT;GROVE;;;;;;;
USC00043573;39.2042;-121.0681;731.5;CA;GRASS;VALLEY;#2;;;;;;
