STNID,MEDIA,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,18.22825,USC00040029,41.1936,-120.9447,1278.6,CA
USC00040136,23.05516666666667,USC00040136,32.8358,-116.7775,516.6,CA
USC00040161,17.76033333333333,USC00040161,41.4931,-120.5528,1341.1,CA
USC00040192,25.338750000000005,USC00040192,33.8647,-117.8425,102.1,CA
USC00040212,20.2125,USC00040212,38.5731,-122.4406,522.7,CA
USC00040232,23.168083333333332,USC00040232,37.9856,-121.7458,18.3,CA
USC00040343,25.70566666666667,USC00040343,36.4914,-118.8253,520.6,CA
USC00040379,22.01375,USC00040379,37.0919,-119.5128,637,CA
USC00040383,22.690250000000002,USC00040383,38.9072,-121.0839,393.8,CA
USC00040436,30.058666666666664,USC00040436,35.2761,-116.0628,293.2,CA
USC00040449,22.53516666666667,USC00040449,36.9092,-119.0883,524.3,CA
USC00040521,26.039166666666663,USC00040521,34.8928,-117.0219,676.7,CA
USC00040673,22.809249999999995,USC00040673,37.0856,-122.0797,128,CA
USC00040693,19.969250000000002,USC00040693,37.8744,-122.2606,94.5,CA
USC00040738,21.804750000000002,USC00040738,40.7406,-123.2078,381.9,CA
USC00040741,16.936583333333335,USC00040741,34.2442,-116.9039,2060.4,CA
USC00040790,19.833166666666667,USC00040790,36.2472,-121.7803,61,CA
USC00040924,31.305249999999997,USC00040924,33.6131,-114.5972,81.7,CA
USC00040931,17.273500000000002,USC00040931,39.3886,-120.0936,1699.3,CA
USC00040943,13.660250000000003,USC00040943,38.2119,-119.0142,2551.2,CA
USC00040983,31.09975,USC00040983,33.2314,-116.4144,245.4,CA
USC00041018,16.63308333333333,USC00041018,39.4539,-120.6556,1641.3,CA
USC00041048,31.897166666666664,USC00041048,32.9544,-115.5581,-30.5,CA
USC00041072,15.964416666666667,USC00041072,38.2575,-119.2286,1972.1,CA
USC00041214,18.67475,USC00041214,40.8803,-121.6547,974.8,CA
USC00041244,25.602333333333334,USC00041244,35.4047,-119.4731,82,CA
USC00041253,26.02933333333333,USC00041253,34.5825,-119.9817,238.7,CA
USC00041277,15.557583333333334,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,23.559833333333334,USC00041312,38.5961,-122.6014,121.9,CA
USC00041316,18.303416666666667,USC00041316,41.3111,-122.8045,970.8,CA
USC00041428,23.37783333333334,USC00041428,38.2486,-120.8433,200.6,CA
USC00041476,17.699583333333333,USC00041476,41.4219,-120.9017,1313.7,CA
USC00041484,26.995083333333337,USC00041484,34.1819,-118.5744,240.8,CA
USC00041497,15.723333333333331,USC00041497,40.1703,-121.0883,1389.9,CA
USC00041606,19.389333333333337,USC00041606,41.1417,-123.1392,704.1,CA
USC00041614,17.203833333333332,USC00041614,41.5306,-120.1803,1408.5,CA
USC00041697,19.063416666666665,USC00041697,37.9747,-119.9161,1452.4,CA
USC00041700,16.737583333333337,USC00041700,40.3033,-121.2422,1380.7,CA
USC00041715,24.460250000000002,USC00041715,39.6911,-121.8211,56.4,CA
USC00041758,21.396083333333333,USC00041758,32.64,-117.0858,17.1,CA
USC00041806,22.15575,USC00041806,38.9239,-122.5672,411.2,CA
USC00041838,23.4385,USC00041838,38.8,-123.0175,100.6,CA
USC00041864,26.625916666666665,USC00041864,36.1356,-120.3606,204.2,CA
USC00041912,19.097416666666668,USC00041912,39.0911,-120.9481,725.4,CA
USC00041948,23.99225,USC00041948,39.1875,-122.0269,15.2,CA
USC00041967,22.46325,USC00041967,37.9833,-122.0692,12.2,CA
USC00042012,25.20875,USC00042012,36.0975,-119.5817,61,CA
USC00042081,21.652666666666665,USC00042081,39.8158,-123.2444,430.7,CA
USC00042147,14.712583333333335,USC00042147,41.7958,-124.2147,13.1,CA
USC00042214,21.370499999999996,USC00042214,34.0053,-118.4136,20.7,CA
USC00042239,19.750333333333334,USC00042239,32.9897,-116.5872,1414.3,CA
USC00042294,24.091666666666665,USC00042294,38.535,-121.7761,18.3,CA
USC00042319,33.445249999999994,USC00042319,36.4622,-116.8669,-59.1,CA
USC00042331,20.31675,USC00042331,37.3739,-117.9803,1592.6,CA
USC00042338,18.997916666666665,USC00042338,39.3,-120.8333,1357.9,CA
USC00042402,20.863,USC00042402,39.8717,-121.6108,826,CA
USC00042456,22.62533333333333,USC00042456,39.3575,-121.2011,499.9,CA
USC00042467,15.686333333333332,USC00042467,39.3239,-120.2331,1809.6,CA
USC00042500,19.647250000000003,USC00042500,39.5633,-120.8239,888.5,CA
USC00042506,18.11583333333333,USC00042506,39.9717,-120.0828,1338.1,CA
USC00042574,20.752583333333337,USC00042574,41.1833,-122.2736,661.4,CA
USC00042598,28.775333333333332,USC00042598,33.8089,-115.4508,296.6,CA
USC00042640,23.396666666666665,USC00042640,39.3592,-122.5178,367.3,CA
USC00042671,12.34375,USC00042671,38.7833,-120.0333,2240.3,CA
USC00042706,25.467750000000006,USC00042706,32.8139,-116.975,123.4,CA
USC00042709,28.19383333333333,USC00042709,32.8839,-116.8164,182.9,CA
USC00042713,31.197749999999996,USC00042713,32.7669,-115.5617,-9.1,CA
USC00042728,24.771666666666665,USC00042728,38.3306,-120.6706,217.9,CA
USC00042771,24.31675,USC00042771,34.5892,-117.6303,899.2,CA
USC00042805,26.971999999999998,USC00042805,33.6692,-117.3319,391.7,CA
USC00042863,24.914416666666664,USC00042863,33.1211,-117.0883,182.9,CA
USC00042934,23.3245,USC00042934,38.2736,-122.0678,12.2,CA
USC00042941,22.810083333333335,USC00042941,34.705,-118.4242,932.7,CA
USC00043083,24.878583333333335,USC00043083,36.3642,-120.1561,86.9,CA
USC00043113,24.296916666666664,USC00043113,38.7,-121.1667,106.7,CA
USC00043157,15.261000000000001,USC00043157,41.52,-120.09,1442.3,CA
USC00043161,14.194249999999998,USC00043161,39.5092,-123.7567,37.5,CA
USC00043191,17.231166666666667,USC00043191,38.515,-123.2447,34.1,CA
