STNID;YEAR;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00047473;1991;1952;2469;1775;2400;2516;2826;3193;3343;3318;3066;2511;1975;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1992;2055;2026;1895;2675;2748;3047;3335;3595;3458;2811;2351;1687;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1993;1685;1760;2293;2582;2744;3101;2998;3359;3315;2843;2297;2013;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1994;2234;1837;2241;2341;2406;3325;3313;3619;3277;2628;1946;1893;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1995;1666;2217;2018;2279;2268;2807;3507;3650;3396;2890;2631;2011;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1996;2021;1958;2171;2754;2775;3200;3545;3680;3237;2800;2257;1854;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1997;1658;1993;2626;2580;3170;2907;3271;3539;3489;2835;2372;1964;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1998;1950;1730;2082;2314;2310;2717;3498;3812;3041;2756;2317;2058;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1999;2148;2059;1951;2136;2546;2944;3341;3438;3142;3264;2523;2228;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2000;1986;1925;2224;2633;2936;3268;3435;3531;3311;2490;2270;2369;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2001;1795;1789;2140;2209;2913;3225;3301;3542;3396;2955;2374;1914;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2002;2070;2416;2255;2372;2690;3149;3450;3399;3419;2532;2568;1940;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2003;2605;1949;2315;2181;2742;2844;3556;3667;3484;3212;2182;2056;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2004;2120;1895;2786;2597;2938;3022;3489;3402;3403;2636;2149;2073;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2005;1892;1729;1986;2268;2612;2944;3658;3601;3244;2789;2666;2203;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2006;2153;2385;1905;2279;2851;3351;3830;3579;3480;2797;2700;2217;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2007;1996;2237;2657;2487;2840;3280;3550;3711;3280;2873;2278;1649;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2008;1608;1872;2213;2413;2439;3205;3280;3357;3503;3276;2746;1947;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2009;2358;2011;2327;2522;3006;2839;3676;3542;3548;2735;2477;1889;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;2010;2056;1973;2166;2200;2515;2949;3266;3433;3373;2603;2196;2052;USC00047473;33.9669;-117.3614;300.5;CA
USC00047641;1981;562;573;701;1373;1622;2312;2674;2852;2271;1195;637;440;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1982;71;583;438;792;1665;1892;2370;2466;1810;1198;448;122;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1983;365;338;411;596;1468;1887;2273;2275;2034;1549;412;268;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1984;392;480;908;918;1808;1991;2710;2522;2261;1087;428;98;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1985;219;506;534;1483;1689;2409;2661;2450;1739;1430;467;360;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1986;719;470;979;1098;1683;2219;2329;2658;1540;1439;1013;573;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1987;229;427;683;1655;1716;2288;2307;2638;2369;1821;742;13;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1988;324;860;1021;1207;1523;2088;2746;2660;2244;2047;519;165;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1989;267;179;697;1434;1546;2105;2570;2289;1978;1375;984;602;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1990;379;312;896;1426;1380;2062;2602;2409;2125;1717;892;163;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1991;632;1052;319;967;1286;1947;2645;2435;2405;1724;855;453;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1992;538;525;905;1462;2078;2016;2395;2611;2241;1667;806;72;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1993;11;66;880;990;1582;1888;2281;2385;2188;1449;795;278;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1994;641;345;1042;1258;1669;2224;2765;2608;2123;1420;276;329;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1995;190;937;431;808;1215;1779;2373;2443;2251;1824;1385;520;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1996;430;548;885;1201;1458;2151;2717;2621;2080;1414;912;309;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1997;405;588;1160;1107;1888;1902;2440;2447;2092;1561;755;133;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1998;327;118;716;883;1045;1847;2689;2683;2058;1272;525;342;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;1999;451;388;712;895;1558;2107;2532;2303;2300;1859;1108;524;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2000;394;450;820;1262;1545;2287;2446;2551;2038;1145;647;605;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2001;282;343;1121;877;2130;2198;2521;2742;2327;1888;838;205;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2002;254;783;752;1198;1612;2294;2800;2548;2223;1517;1119;320;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2003;908;553;977;645;1671;2354;2797;2435;2386;2024;627;314;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2004;493;404;1333;1252;1673;2239;2616;2539;2163;1444;760;565;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2005;480;586;927;923;1433;1818;2769;2621;1974;1587;1024;482;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2006;463;744;374;1020;1753;2326;2704;2530;2241;1554;778;288;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2007;399;553;1267;1286;1859;2225;2624;2677;2000;1446;1159;127;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2008;109;424;968;1090;1567;2217;2744;2755;2350;1579;983;269;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2009;568;345;806;1153;1905;1911;2724;2555;2400;1351;880;119;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047641;2010;404;523;818;839;1131;2040;2714;2476;2233;1444;537;317;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047643;1981;1462;1730;1749;2432;2750;3401;3220;3211;3020;2340;1872;1479;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1982;1287;1797;1666;2119;2767;2669;3097;3237;2976;2533;1688;1490;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1983;1394;1646;1686;2000;2670;3030;3139;3208;3100;2658;1635;1427;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1984;1588;1546;2168;2183;2959;2991;3363;3240;3345;2269;1617;1239;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1985;1318;2001;1685;2494;2598;3275;3310;3032;2591;2416;1617;1197;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1986;1590;1763;2005;2261;2680;2940;3109;3126;2539;2480;2177;1452;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1987;1372;1693;1802;2600;2830;2999;3036;3079;2992;2599;1790;1314;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1988;1420;2020;2161;2184;2515;2845;3337;3128;3070;2549;1671;1539;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1989;1407;1399;1685;2376;2585;2838;3322;3055;2685;2364;2020;1474;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1990;1416;1459;1953;2455;2500;3030;3215;3122;3102;2827;2045;1383;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1991;1586;2002;1481;2157;2437;2838;3171;3017;3103;2791;2066;1495;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1992;1350;1804;1881;2443;2952;2808;3212;3374;3111;2628;1996;1206;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1993;1332;1482;1993;2120;2408;3071;3227;3247;3100;2531;1956;1323;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1994;1611;1493;2105;2281;2508;3074;2981;3284;2989;2509;1470;1229;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1995;1322;1790;1666;2160;2272;2855;3216;3414;3042;2796;2237;1536;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1996;1468;1683;2013;2233;2595;3076;3521;3455;2987;2501;1952;1513;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1997;1437;1853;2195;2382;3014;3133;3254;3164;3161;2495;1895;1548;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1998;1340;1301;1927;2237;1952;2507;3129;3243;2855;2422;1519;1402;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;1999;1469;1456;1593;2095;2417;2782;2991;2920;2912;2684;1849;1786;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;2000;1467;1576;2076;2387;2607;3032;3000;3132;2954;2402;1645;1651;USC00047643;38.5067;-122.4714;68.6;CA
USC00047643;2001;1530;1572;2162;2130;3127;3061;3034;3138;2899;2672;1849;1313;USC00047643;38.5067;-122.4714;68.6;CA
