STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,7.8900,9.2430,11.8920,16.9790,20.2870,24.7970,29.8560,30.4410,24.8150,19.3370,9.6800,6.3520,USC00040029,41.1936,-120.9447,1278.6,CA
USC00040136,16.9770,17.7050,17.9950,21.0870,23.3150,26.7360,30.1710,30.0860,28.4600,24.3370,19.5520,16.5920,USC00040136,32.8358,-116.7775,516.6,CA
USC00040161,6.1980,7.7910,11.0500,15.7370,19.7050,25.5280,30.5530,30.6130,24.8180,18.9060,9.3850,5.2650,USC00040161,41.4931,-120.5528,1341.1,CA
USC00040192,21.1510,21.5180,21.7680,23.8030,25.9170,27.5490,30.4710,31.3880,29.5170,26.7430,23.3480,20.4160,USC00040192,33.8647,-117.8425,102.1,CA
USC00040212,11.8830,13.4240,15.1840,19.3780,23.6990,27.6900,30.5670,29.6480,26.4160,22.0420,14.3850,11.2760,USC00040212,38.5731,-122.4406,522.7,CA
USC00040232,11.1640,15.6530,18.0070,22.3940,26.3660,30.2990,32.8340,31.8630,29.4890,24.7370,17.0980,11.6320,USC00040232,37.9856,-121.7458,18.3,CA
USC00040343,15.4580,17.0340,18.8410,22.6860,27.6040,33.1520,36.6990,36.2770,32.2550,26.9360,19.1510,15.3300,USC00040343,36.4914,-118.8253,520.6,CA
USC00040379,12.5950,13.5670,15.1200,19.5960,24.4810,29.6840,33.0470,32.5460,28.2130,23.0070,15.6720,12.0600,USC00040379,37.0919,-119.5128,637,CA
USC00040383,12.4330,14.8510,16.5380,20.5140,24.9520,29.6590,32.9390,32.4170,28.7400,23.6520,15.8060,12.1590,USC00040383,38.9072,-121.0839,393.8,CA
USC00040436,16.4550,19.8950,24.2970,29.9550,34.8960,40.3900,42.4170,41.1140,36.5220,29.8660,21.4280,15.1510,USC00040436,35.2761,-116.0628,293.2,CA
USC00040449,10.9760,14.0530,16.3250,20.8410,24.9040,29.4360,33.3670,33.3830,29.5040,23.9510,14.7510,10.5280,USC00040449,36.9092,-119.0883,524.3,CA
USC00040521,14.5050,17.2470,20.3160,24.7270,29.1650,34.4320,36.8370,36.1730,31.9560,25.9220,18.8750,13.5710,USC00040521,34.8928,-117.0219,676.7,CA
USC00040673,16.5140,18.0250,18.7680,22.1310,24.6660,27.5240,29.4730,29.0140,27.9240,24.8320,18.8780,16.0670,USC00040673,37.0856,-122.0797,128,CA
USC00040693,15.2040,17.1100,17.7530,19.7430,20.9310,22.5000,23.2490,22.9860,23.6560,22.5350,18.3620,15.1380,USC00040693,37.8744,-122.2606,94.5,CA
USC00040738,9.9460,13.7300,17.2960,20.8560,26.1820,31.0850,34.8660,35.4030,30.4810,23.5810,13.6780,9.1290,USC00040738,40.7406,-123.2078,381.9,CA
USC00040741,7.8750,8.3300,10.1710,14.3610,18.9130,23.9670,26.0310,25.2510,21.7560,16.5910,11.6240,8.1050,USC00040741,34.2442,-116.9039,2060.4,CA
USC00040790,14.6770,16.2540,16.3430,20.5550,23.0800,25.1890,23.5140,24.9220,25.0420,22.5950,16.7070,15.4600,USC00040790,36.2472,-121.7803,61,CA
USC00040924,19.1260,22.2210,25.8660,30.8460,35.5320,40.4250,41.8250,40.6650,37.3140,30.8320,23.6560,18.0880,USC00040924,33.6131,-114.5972,81.7,CA
USC00040931,5.7370,7.2980,10.4420,15.1620,19.3730,24.7800,28.5610,28.6840,23.7280,18.4340,9.8570,5.3490,USC00040931,39.3886,-120.0936,1699.3,CA
USC00040943,4.2850,5.2040,6.2780,10.9070,15.3780,20.4930,24.2800,24.3540,20.0410,14.7460,8.0820,4.3280,USC00040943,38.2119,-119.0142,2551.2,CA
USC00040983,20.4050,22.0660,25.2290,29.5780,33.8720,38.9960,41.0040,40.1770,36.8630,31.2350,24.3790,19.7980,USC00040983,33.2314,-116.4144,245.4,CA
USC00041018,8.3650,8.4960,9.4100,13.4290,17.6980,23.2290,26.6320,27.2050,22.6750,17.7260,10.3510,7.7420,USC00041018,39.4539,-120.6556,1641.3,CA
USC00041048,21.5700,23.5390,26.6540,30.6660,34.7830,39.7730,41.3720,40.7640,38.0800,32.2860,25.6310,20.8420,USC00041048,32.9544,-115.5581,-30.5,CA
USC00041072,3.4690,6.4380,9.9080,15.0830,18.7020,23.7580,27.3440,26.6760,22.4120,17.5110,9.8080,4.9420,USC00041072,38.2575,-119.2286,1972.1,CA
USC00041214,5.9420,9.5020,12.6060,17.3910,21.8020,26.8570,30.7380,31.1100,26.4640,20.3130,10.4090,5.8880,USC00041214,40.8803,-121.6547,974.8,CA
USC00041244,12.2460,17.0140,20.0470,24.9390,29.2540,33.2530,35.5580,34.9030,31.6960,26.8120,18.3120,12.2930,USC00041244,35.4047,-119.4731,82,CA
USC00041253,18.9710,19.7850,20.6780,23.9040,26.2880,29.5810,32.8440,33.1220,31.0530,27.5890,22.4210,18.8910,USC00041253,34.5825,-119.9817,238.7,CA
USC00041277,6.8410,7.3440,8.8240,13.7510,18.5320,23.7840,27.1590,26.9340,22.2490,16.5820,9.2600,6.4180,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,14.5820,16.9370,18.3080,22.1750,26.0100,29.7180,32.8120,32.0140,29.4950,25.6260,17.6210,13.9270,USC00041312,38.5961,-122.6014,121.9,CA
USC00041316,6.7020,9.8660,13.0210,17.2230,20.8580,25.4640,29.2910,29.3550,24.2820,19.2090,9.5970,6.0890,USC00041316,41.3111,-122.8045,970.8,CA
USC00041428,10.8820,14.4810,16.6270,21.3510,26.1850,31.2150,34.2870,33.2340,29.7880,24.3600,15.9360,11.2770,USC00041428,38.2486,-120.8433,200.6,CA
USC00041476,5.8350,7.2410,10.8940,16.0320,19.9020,25.4410,29.6420,29.7340,24.4520,19.2010,9.3460,4.4000,USC00041476,41.4219,-120.9017,1313.7,CA
USC00041484,19.7090,20.7940,21.8390,25.2430,27.4270,31.2340,34.7530,34.8880,31.8980,27.9030,22.7290,19.2970,USC00041484,34.1819,-118.5744,240.8,CA
USC00041497,4.1850,6.4290,9.5510,14.6660,19.2320,24.1480,28.1290,28.0040,23.1690,16.8980,8.3090,3.8970,USC00041497,40.1703,-121.0883,1389.9,CA
