STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00044523;60.1;62.6;66.7;72.2;80.9;90.1;97.5;97.3;90.8;80.0;67.7;60.0;USC00044523;35.7831;-118.4389;823.9;CA
USC00044534;55.7;63.2;68.7;75.9;84.9;91.8;97.4;96.5;91.3;80.7;66.3;56.7;USC00044534;36.0042;-119.96;73.2;CA
USC00044555;63.6;66;70.2;74.5;79.2;83.3;85.4;85.7;85.5;79.8;69.7;62.6;USC00044555;36.2069;-121.1378;97.5;CA
USC00044577;53.4;55;56;56.9;60.7;63.4;65;65.1;65.2;62.6;56.6;52.7;USC00044577;41.5786;-124.0747;8.5;CA
USC00044647;67.6;67.8;69;71.5;73;74.9;78.8;80.1;79.9;76.6;71.6;67.1;USC00044647;33.5453;-117.7814;13.4;CA
USC00044671;44.2;45.4;51.8;59;67.8;75.9;80.9;80.9;74.6;62.7;51.2;43.6;USC00044671;34.2467;-117.1883;1586.5;CA
USC00044712;55.7;61.5;67.3;73.1;81.8;90.3;96.5;95;90.0;79.6;65.3;56.0;USC00044712;38.4919;-122.0039;57.9;CA
USC00044713;44.5;46.2;50.4;55.9;64.9;74.4;81.5;81.1;75.7;64.8;50.5;43.1;USC00044713;39.3183;-120.6392;1571.5;CA
USC00044735;69.4;69.3;70.5;73.8;75.4;79.1;84;85.9;85.3;79.3;73.6;68.9;USC00044735;32.7675;-117.0233;161.5;CA
USC00044838;41.9;45.1;50.9;57;65.7;75;84.8;84.7;76.8;64.6;48.6;40.7;USC00044838;41.7019;-121.5011;1453.9;CA
USC00044881;40.1;43.3;50.7;58;66.5;76.2;83.9;82.6;75.2;64.8;52.6;41.8;USC00044881;37.9567;-119.1194;2071.7;CA
USC00044890;57;63.4;69.5;75.7;84.8;92.5;98.1;97;91.5;81.0;66.7;56.9;USC00044890;36.3817;-119.0264;156.4;CA
USC00044957;58.1;64.3;70.4;76.8;84.9;91.9;97.2;96.3;91.3;80.4;66.9;57.9;USC00044957;36.2033;-119.0545;132.6;CA
USC00044997;56.1;61;65.6;70.7;76.9;83.3;88.9;88.4;85.5;76.9;64.4;56.4;USC00044997;37.6922;-121.7692;146.3;CA
USC00045026;38.8;41.3;45.2;49.9;58.6;68.1;75.6;75.5;68.9;58.2;45.9;37.5;USC00045026;36.6044;-118.7325;2052.8;CA
USC00045032;55.2;62.2;67.9;74.1;81.4;87.6;91.8;90.8;87.7;78.4;64.5;55.3;USC00045032;38.1061;-121.2878;12.2;CA
USC00045064;63.4;64.3;65.6;67.1;68;70.2;72.2;72.8;73.7;72.6;67.9;62.9;USC00045064;34.6539;-120.4514;29;CA
USC00045118;55.6;62.6;68.5;74.4;82.5;89.6;95.4;94.3;89.8;79.8;65.8;55.6;USC00045118;37.0564;-120.8667;36.6;CA
USC00045120;54.2;60.5;66.3;72.6;80.6;88.3;95;93.5;88.2;77.9;64.4;54.4;USC00045120;36.9897;-120.9297;124.1;CA
USC00045123;57.7;61.5;65.6;70;75.6;81.1;84.8;84.1;82.0;74.6;63.9;57.2;USC00045123;37.2319;-121.9592;111.3;CA
USC00045233;54;61.1;67;73.8;82.7;90.4;96.3;94.9;89.4;78.6;64.5;53.9;USC00045233;36.9539;-120.0378;82.3;CA
USC00045280;40.1;40.2;44.4;50.4;60.3;69.4;77.7;76.8;69.5;59.3;47.4;41.1;USC00045280;37.6478;-118.9617;2378.7;CA
USC00045311;42.4;43.1;47.1;52.2;61.7;70.5;78.8;78.4;72.3;60.8;47.0;41.4;USC00045311;40.5411;-121.5767;1752.6;CA
USC00045360;56;60.4;65.7;71.1;79.3;87.5;94.3;93.4;88.9;78.6;64.9;56.2;USC00045360;38.4917;-122.1242;146.3;CA
USC00045378;55.2;60.9;66.3;71.9;78.8;85.1;88.7;87.9;84.4;75.9;63.9;55.6;USC00045378;38.0131;-122.1142;12.2;CA
USC00045385;55.4;62.2;68;74.9;83.3;91.1;97;95.8;90.3;79.5;65.2;55.9;USC00045385;39.1458;-121.5853;17.4;CA
USC00045449;47.2;50.1;54.7;61.5;71.1;80.1;88.7;88.2;82.1;70.0;53.7;46.8;USC00045449;41.2514;-122.1383;999.7;CA
USC00045502;72.1;76;82.7;89.5;97.4;104.5;108.7;107.9;103.4;92.9;79.5;70.7;USC00045502;33.5714;-116.0767;-54.9;CA
USC00045532;54.4;61.7;67.5;74.6;83.3;90.6;96;94.8;90.0;79.9;65.2;54.8;USC00045532;37.2858;-120.5117;46.6;CA
USC00045679;42.4;44.2;48.4;53.9;62.8;72.5;81.7;81.4;75.2;63.1;48.4;41.7;USC00045679;40.3458;-121.6092;1485.9;CA
USC00045721;53.4;55.3;60.7;68;77.5;86.8;91.7;90.2;83.9;72.7;61.2;52.6;USC00045721;34.9436;-115.5469;1325.9;CA
USC00045756;57.4;60.3;65.7;71.4;80.5;89.5;96.4;96.1;88.4;77.9;65.2;56.3;USC00045756;35.0492;-118.1619;833.6;CA
