STNID,MEDIA,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,1.5647499999999999,USC00040029,41.1936,-120.9447,1279,CA
USC00040136,11.096666666666666,USC00040136,32.8358,-116.7775,517,CA
USC00040161,-1.3770833333333332,USC00040161,41.4931,-120.5528,1341,CA
USC00040192,12.957416666666667,USC00040192,33.8647,-117.8425,102,CA
USC00040212,7.880166666666667,USC00040212,38.5731,-122.4406,523,CA
USC00040232,10.060333333333334,USC00040232,37.9856,-121.7458,18,CA
USC00040343,8.624083333333333,USC00040343,36.4914,-118.8253,521,CA
USC00040379,9.636583333333334,USC00040379,37.0919,-119.5128,637,CA
USC00040383,10.121166666666667,USC00040383,38.9072,-121.0839,394,CA
USC00040436,12.815916666666666,USC00040436,35.2761,-116.0628,293,CA
USC00040449,10.334666666666667,USC00040449,36.9092,-119.0883,524,CA
USC00040521,10.574,USC00040521,34.8928,-117.0219,677,CA
USC00040673,6.3359999999999985,USC00040673,37.0856,-122.0797,128,CA
USC00040693,9.372666666666667,USC00040693,37.8744,-122.2606,95,CA
USC00040738,5.796833333333333,USC00040738,40.7406,-123.2078,382,CA
USC00040741,0.3513333333333333,USC00040741,34.2442,-116.9039,2060,CA
USC00040790,7.701416666666667,USC00040790,36.2472,-121.7803,61,CA
USC00040924,13.940083333333334,USC00040924,33.6131,-114.5972,82,CA
USC00040931,-4.3105,USC00040931,39.3886,-120.0936,1699,CA
USC00040943,-8.035,USC00040943,38.2119,-119.0142,2551,CA
USC00040983,14.130500000000003,USC00040983,33.2314,-116.4144,245,CA
USC00041018,4.283833333333334,USC00041018,39.4539,-120.6556,1641,CA
USC00041048,13.728166666666667,USC00041048,32.9544,-115.5581,-31,CA
USC00041072,-4.67325,USC00041072,38.2575,-119.2286,1972,CA
USC00041214,-0.6865000000000001,USC00041214,40.8803,-121.6547,975,CA
USC00041244,10.155166666666666,USC00041244,35.4047,-119.4731,82,CA
USC00041253,7.196416666666667,USC00041253,34.5825,-119.9817,239,CA
USC00041277,3.9132499999999997,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,6.9395,USC00041312,38.5961,-122.6014,122,CA
USC00041316,1.6050833333333332,USC00041316,41.3111,-122.8045,971,CA
USC00041428,10.137833333333333,USC00041428,38.2486,-120.8433,201,CA
USC00041476,-0.19550000000000023,USC00041476,41.4219,-120.9017,1314,CA
USC00041484,8.561416666666666,USC00041484,34.1819,-118.5744,241,CA
USC00041497,1.3870833333333332,USC00041497,40.1703,-121.0883,1390,CA
USC00041606,3.52675,USC00041606,41.1417,-123.1392,704,CA
USC00041614,1.730583333333333,USC00041614,41.5306,-120.1803,1409,CA
USC00041697,5.130166666666666,USC00041697,37.9747,-119.9161,1452,CA
USC00041700,0.25549999999999984,USC00041700,40.3033,-121.2422,1381,CA
USC00041715,8.376166666666666,USC00041715,39.6911,-121.8211,56,CA
USC00041758,12.885083333333334,USC00041758,32.64,-117.0858,17,CA
USC00041806,5.628833333333334,USC00041806,38.9239,-122.5672,411,CA
USC00041838,8.735416666666666,USC00041838,38.8,-123.0175,101,CA
USC00041864,10.015749999999999,USC00041864,36.1356,-120.3606,204,CA
USC00041912,7.659750000000002,USC00041912,39.0911,-120.9481,725,CA
USC00041948,9.365666666666668,USC00041948,39.1875,-122.0269,15,CA
USC00041967,10.095999999999998,USC00041967,37.9833,-122.0692,12,CA
USC00042012,9.126333333333335,USC00042012,36.0975,-119.5817,61,CA
USC00042081,4.672166666666667,USC00042081,39.8158,-123.2444,431,CA
USC00042147,6.828083333333335,USC00042147,41.7958,-124.2147,13,CA
USC00042214,12.594583333333334,USC00042214,34.0053,-118.4136,21,CA
USC00042239,3.7148333333333325,USC00042239,32.9897,-116.5872,1414,CA
USC00042294,8.887,USC00042294,38.535,-121.7761,18,CA
USC00042319,17.151666666666667,USC00042319,36.4622,-116.8669,-59,CA
USC00042331,3.2699999999999996,USC00042331,37.3739,-117.9803,1593,CA
USC00042338,6.508500000000001,USC00042338,39.3,-120.8333,1358,CA
USC00042402,5.936416666666667,USC00042402,39.8717,-121.6108,826,CA
USC00042456,5.928333333333335,USC00042456,39.3575,-121.2011,500,CA
USC00042467,-2.0659999999999994,USC00042467,39.3239,-120.2331,1810,CA
USC00042500,3.2907500000000005,USC00042500,39.5633,-120.8239,889,CA
USC00042506,1.9129999999999996,USC00042506,39.9717,-120.0828,1338,CA
USC00042574,4.6948333333333325,USC00042574,41.1833,-122.2736,661,CA
USC00042598,17.538,USC00042598,33.8089,-115.4508,297,CA
USC00042640,6.264916666666667,USC00042640,39.3592,-122.5178,367,CA
USC00042671,0.8597499999999997,USC00042671,38.7833,-120.0333,2240,CA
USC00042706,11.321666666666667,USC00042706,32.8139,-116.975,123,CA
USC00042709,9.55125,USC00042709,32.8839,-116.8164,183,CA
USC00042713,14.939833333333333,USC00042713,32.7669,-115.5617,-9,CA
USC00042728,5.986583333333333,USC00042728,38.3306,-120.6706,218,CA
USC00042771,7.513749999999999,USC00042771,34.5892,-117.6303,899,CA
USC00042805,9.731250000000001,USC00042805,33.6692,-117.3319,392,CA
USC00042863,11.34208333333333,USC00042863,33.1211,-117.0883,183,CA
USC00042934,9.446,USC00042934,38.2736,-122.0678,12,CA
USC00042941,10.146583333333334,USC00042941,34.705,-118.4242,933,CA
USC00043083,10.08825,USC00043083,36.3642,-120.1561,87,CA
USC00043113,9.945666666666666,USC00043113,38.7,-121.1667,107,CA
USC00043157,2.168416666666667,USC00043157,41.52,-120.09,1442,CA
USC00043161,6.909250000000001,USC00043161,39.5092,-123.7567,38,CA
USC00043191,7.360416666666666,USC00043191,38.515,-123.2447,34,CA
USC00043244,9.7485,USC00043244,37.5422,-122.0158,12,CA
USC00043256,10.904666666666666,USC00043256,36.7525,-119.7017,100,CA
USC00043261,8.816833333333333,USC00043261,36.9969,-119.7072,125,CA
USC00043417,8.156416666666667,USC00043417,37.0067,-121.5633,59,CA
USC00043463,3.6950833333333333,USC00043463,35.7269,-118.7006,957,CA
USC00043489,16.34208333333333,USC00043489,32.8833,-114.8667,148,CA
USC00043551,2.866666666666667,USC00043551,36.7394,-118.9631,2012,CA
USC00043573,6.261666666666666,USC00043573,39.2042,-121.0681,732,CA
USC00043578,6.022166666666667,USC00043578,38.4306,-122.8647,61,CA
USC00043647,7.076583333333335,USC00043647,40.4864,-123.9089,126,CA
USC00043669,4.833916666666666,USC00043669,37.8444,-120.2258,853,CA
USC00043710,9.4365,USC00043710,36.1389,-117.9528,1166,CA
USC00043714,7.690666666666666,USC00043714,37.4725,-122.4433,8,CA
USC00043747,9.859,USC00043747,36.3158,-119.6369,72,CA
USC00043824,0.2931666666666664,USC00043824,40.9317,-121.5433,919,CA
USC00043855,12.76825,USC00043855,33.7044,-115.6289,418,CA
USC00043875,8.2545,USC00043875,38.6175,-122.8731,33,CA
USC00043896,8.8175,USC00043896,33.7381,-116.8939,552,CA
USC00043914,2.9924166666666667,USC00043914,33.2372,-116.7614,823,CA
USC00043939,5.290416666666666,USC00043939,37.9614,-119.7831,1180,CA
USC00044025,7.773166666666666,USC00044025,36.8483,-121.4214,84,CA
USC00044176,0.7610833333333332,USC00044176,37.2275,-119.2206,2140,CA
USC00044211,4.016916666666668,USC00044211,33.7572,-116.7067,1640,CA
USC00044223,13.973833333333332,USC00044223,32.8489,-115.5667,-20,CA
USC00044232,7.092333333333333,USC00044232,36.7981,-118.2036,1204,CA
USC00044259,16.34841666666667,USC00044259,33.7086,-116.2153,-6,CA
USC00044278,8.966333333333333,USC00044278,35.6514,-117.8214,741,CA
USC00044297,17.309833333333334,USC00044297,34.1472,-115.1219,281,CA
USC00044374,0.4949166666666666,USC00044374,41.2683,-120.2947,1646,CA
USC00044500,8.462166666666665,USC00044500,37.9569,-122.5439,44,CA
USC00044523,7.0897499999999996,USC00044523,35.7831,-118.4389,824,CA
USC00044555,7.111000000000001,USC00044555,36.2069,-121.1378,98,CA
USC00044577,5.942,USC00044577,41.5786,-124.0747,9,CA
USC00044647,10.867666666666667,USC00044647,33.5453,-117.7814,13,CA
USC00044671,4.915583333333334,USC00044671,34.2467,-117.1883,1587,CA
USC00044712,9.723249999999998,USC00044712,38.4919,-122.0039,58,CA
USC00044713,1.2303333333333335,USC00044713,39.3183,-120.6392,1572,CA
USC00044735,12.620166666666668,USC00044735,32.7675,-117.0233,162,CA
USC00044838,1.5819166666666666,USC00044838,41.7019,-121.5011,1454,CA
USC00044881,1.506666666666667,USC00044881,37.9567,-119.1194,2072,CA
USC00044890,9.910916666666665,USC00044890,36.3817,-119.0264,156,CA
USC00044957,9.287666666666667,USC00044957,36.2033,-119.0545,133,CA
USC00044997,8.813500000000001,USC00044997,37.6922,-121.7692,146,CA
USC00045026,-1.6325833333333335,USC00045026,36.6044,-118.7325,2053,CA
USC00045032,8.632833333333332,USC00045032,38.1061,-121.2878,12,CA
USC00045064,9.457500000000001,USC00045064,34.6539,-120.4514,29,CA
USC00045118,10.514083333333334,USC00045118,37.0564,-120.8667,37,CA
USC00045120,10.841916666666668,USC00045120,36.9897,-120.9297,124,CA
USC00045123,8.196416666666666,USC00045123,37.2319,-121.9592,111,CA
USC00045233,9.426333333333334,USC00045233,36.9539,-120.0378,82,CA
USC00045280,-2.0256666666666665,USC00045280,37.6478,-118.9617,2379,CA
USC00045311,-0.1782500000000002,USC00045311,40.5411,-121.5767,1753,CA
USC00045360,7.460333333333332,USC00045360,38.4917,-122.1242,146,CA
USC00045378,6.895500000000001,USC00045378,38.0131,-122.1142,12,CA
USC00045385,10.530666666666669,USC00045385,39.1458,-121.5853,17,CA
USC00045449,2.0664166666666666,USC00045449,41.2514,-122.1383,1000,CA
USC00045502,13.342583333333332,USC00045502,33.5714,-116.0767,-55,CA
USC00045532,8.833333333333332,USC00045532,37.2858,-120.5117,47,CA
USC00045679,-0.42524999999999996,USC00045679,40.3458,-121.6092,1486,CA
USC00045721,12.127249999999998,USC00045721,34.9436,-115.5469,1326,CA
USC00045756,10.028999999999998,USC00045756,35.0492,-118.1619,834,CA
USC00045790,12.879416666666666,USC00045790,34.0192,-118.1053,75,CA
USC00045795,8.942833333333335,USC00045795,36.5903,-121.91,117,CA
USC00045802,9.124916666666666,USC00045802,36.5928,-121.8556,37,CA
USC00045866,10.08975,USC00045866,35.3672,-120.8456,35,CA
USC00045915,9.3055,USC00045915,37.8792,-121.9303,661,CA
USC00045933,8.48875,USC00045933,37.3436,-121.6425,1282,CA
USC00046006,8.529333333333332,USC00046006,34.2308,-118.0711,1740,CA
USC00046074,8.331833333333334,USC00046074,38.2778,-122.2647,11,CA
USC00046136,7.2982499999999995,USC00046136,39.2467,-121.0008,848,CA
USC00046144,10.560583333333332,USC00046144,37.5147,-122.0325,3,CA
USC00046154,5.953416666666667,USC00046154,34.9456,-119.6828,658,CA
USC00046161,11.28025,USC00046161,34.3933,-118.5939,538,CA
USC00046168,9.2445,USC00046168,37.2811,-121.0178,27,CA
USC00046172,7.649583333333332,USC00046172,37.95,-120.5333,236,CA
USC00046174,9.925416666666669,USC00046174,38.0047,-120.4864,293,CA
USC00046175,13.63733333333333,USC00046175,33.6025,-117.8803,3,CA
USC00046263,12.124749999999999,USC00046263,34.2447,-118.525,289,CA
USC00046336,10.921916666666666,USC00046336,37.7983,-122.2642,9,CA
USC00046377,12.066499999999998,USC00046377,33.2097,-117.395,3,CA
USC00046399,7.6939166666666665,USC00046399,34.4478,-119.2275,227,CA
USC00046498,5.432083333333334,USC00046498,41.3619,-124.0192,49,CA
USC00046506,9.730666666666668,USC00046506,39.7458,-122.1997,77,CA
USC00046508,7.433000000000001,USC00046508,41.3089,-123.5317,123,CA
USC00046521,9.834666666666667,USC00046521,39.5178,-121.5531,52,CA
USC00046569,11.6905,USC00046569,34.1981,-119.1753,15,CA
USC00046572,11.006416666666668,USC00046572,34.2067,-119.1375,16,CA
USC00046599,11.097416666666666,USC00046599,37.5917,-122.4717,145,CA
USC00046610,4.704833333333332,USC00046610,36.715,-121.3492,276,CA
USC00046624,9.076333333333334,USC00046624,34.5883,-118.0939,794,CA
USC00046635,15.494666666666665,USC00046635,33.8275,-116.5097,130,CA
USC00046646,7.994499999999999,USC00046646,37.4436,-122.1403,8,CA
USC00046657,8.762500000000001,USC00046657,33.3781,-116.84,1692,CA
USC00046685,10.6175,USC00046685,39.7536,-121.6239,533,CA
USC00046699,15.128000000000002,USC00046699,34.2903,-114.1708,225,CA
USC00046719,12.89408333333333,USC00046719,34.1481,-118.1444,263,CA
USC00046730,6.0622500000000015,USC00046730,35.6278,-120.6856,223,CA
USC00046773,10.073416666666667,USC00046773,34.5028,-117.8944,930,CA
USC00046826,7.617416666666666,USC00046826,38.2578,-122.6078,6,CA
USC00046926,1.691833333333333,USC00046926,36.4817,-121.1822,398,CA
USC00046943,10.279916666666667,USC00046943,35.1597,-120.6831,12,CA
USC00046960,8.300333333333333,USC00046960,38.6956,-120.8244,564,CA
USC00046962,10.148,USC00046962,38.7333,-120.7333,840,CA
USC00047050,11.160583333333333,USC00047050,34.0817,-117.7658,317,CA
USC00047077,11.066916666666666,USC00047077,36.0678,-119.02,120,CA
USC00047085,-0.9389166666666667,USC00047085,39.8053,-120.4719,1478,CA
USC00047109,5.823416666666667,USC00047109,39.3619,-123.1286,310,CA
USC00047150,3.6099166666666673,USC00047150,36.1883,-120.6953,701,CA
USC00047195,2.287083333333333,USC00047195,39.9367,-120.9475,1042,CA
USC00047228,7.513833333333333,USC00047228,33.0114,-116.9081,448,CA
USC00047253,10.187916666666666,USC00047253,35.3692,-117.6525,1088,CA
USC00047306,10.05625,USC00047306,34.0528,-117.1894,402,CA
USC00047339,8.840083333333334,USC00047339,37.4767,-122.2386,9,CA
