STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
AQW00061705;773C;775C;775C;773C;773C;769C;763C;763C;767C;769C;773C;773C;77.3;77.5;77.5;77.3;77.3;76.9;76.3;76.3;76.7;76.9;77.3;77.3
CAW00064757;108Q;126Q;202Q;333Q;434Q;530Q;572Q;549Q;478Q;381Q;296Q;184Q;10.8;12.6;20.2;33.3;43.4;53;57.2;54.9;47.8;38.1;29.6;18.4
CQC00914080;734R;729R;731P;739R;755R;753R;751R;752R;750R;749R;750R;741R;73.4;72.9;73.1;73.9;75.5;75.3;75.1;75.2;75;74.9;75;74.1
CQC00914801;740R;733R;741R;750R;756R;761R;754R;750R;748R;751R;753R;752R;74;73.3;74.1;75;75.6;76.1;75.4;75;74.8;75.1;75.3;75.2
FMC00914395;730P;731P;731P;734P;735P;731P;726P;725P;722P;724P;722P;725P;73;73.1;73.1;73.4;73.5;73.1;72.6;72.5;72.2;72.4;72.2;72.5
FMC00914419;750P;751P;751P;751P;753P;750P;748P;750P;751P;751P;751P;752P;75;75.1;75.1;75.1;75.3;75;74.8;75;75.1;75.1;75.1;75.2
FMC00914446;770R;767R;768R;775R;779R;770R;760R;756R;759R;762R;769R;773R;77;76.7;76.8;77.5;77.9;77;76;75.6;75.9;76.2;76.9;77.3
FMC00914482;728P;725P;728P;726P;718P;712P;703P;712P;703P;704P;709P;720P;72.8;72.5;72.8;72.6;71.8;71.2;70.3;71.2;70.3;70.4;70.9;72
FMC00914720;741P;747P;744P;740P;745P;744P;738P;742P;741P;743P;737P;746P;74.1;74.7;74.4;74;74.5;74.4;73.8;74.2;74.1;74.3;73.7;74.6
FMC00914761;736P;736P;739P;736P;736P;733P;730P;729P;731P;733P;737P;737P;73.6;73.6;73.9;73.6;73.6;73.3;73;72.9;73.1;73.3;73.7;73.7
FMC00914831;750R;750R;757R;761R;765R;756R;752R;753R;752R;751R;759R;756R;75;75;75.7;76.1;76.5;75.6;75.2;75.3;75.2;75.1;75.9;75.6
FMC00914892;773R;770R;776R;785R;785R;781R;777R;775R;779R;778R;785R;779R;77.3;77;77.6;78.5;78.5;78.1;77.7;77.5;77.9;77.8;78.5;77.9
FMC00914898;752P;757P;756P;753P;756P;752P;750P;749P;752P;753P;755P;750P;75.2;75.7;75.6;75.3;75.6;75.2;75;74.9;75.2;75.3;75.5;75
