STNID;YEAR;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00047470;1994;531;567;909;1028;1159;1595;1694;1863;1569;1086;489;468;USC00047470;33.9511;-117.3881;256;CA
USC00047470;1995;693;941;827;896;1176;1376;1705;1819;1679;1235;882;607;USC00047470;33.9511;-117.3881;256;CA
USC00047470;1996;623;789;744;1020;1330;1522;1808;1829;1597;1134;885;622;USC00047470;33.9511;-117.3881;256;CA
USC00047470;1997;778;599;807;975;1536;1603;1673;1827;1811;1267;922;495;USC00047470;33.9511;-117.3881;256;CA
USC00047470;1998;605;637;795;782;1120;1384;1791;1941;1658;1104;712;422;USC00047470;33.9511;-117.3881;256;CA
USC00047470;1999;574;626;655;819;1191;1326;1708;1636;1480;1141;794;474;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2000;670;786;817;1031;1390;1598;1650;1847;1599;1260;489;646;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2001;450;603;938;857;1389;1573;1689;1729;1557;1295;861;396;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2002;379;611;566;962;1147;1485;1762;1642;1659;1147;863;495;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2003;735;667;756;840;1234;1540;1915;1883;1670;1435;731;474;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2004;526;524;1067;1078;1333;1533;1690;1705;1627;1199;635;493;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2005;637;820;902;876;1273;1445;1861;1752;1428;1285;832;594;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2006;598;679;446;929;1344;1790;2164;1724;1561;1186;923;513;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2007;450;669;851;1024;1239;1474;1800;1922;1607;1176;901;512;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2008;535;584;639;1009;1222;1555;1783;1891;1714;1182;965;512;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2009;714;558;677;919;1408;1498;1858;1771;1744;1151;672;539;USC00047470;33.9511;-117.3881;256;CA
USC00047470;2010;673;715;660;909;1136;1508;1668;1734;1462;1305;697;657;USC00047470;33.9511;-117.3881;256;CA
USC00047473;1981;767;806;830;1029;1376;1656;1700;1785;1563;1076;877;589;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1982;444;696;705;874;1168;1282;1500;1647;1538;1073;595;428;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1983;633;682;844;756;1145;1367;1469;1796;1644;1220;864;537;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1984;621;508;781;893;1244;1459;1799;1807;1828;1078;690;472;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1985;466;472;628;1108;1099;1399;1705;1518;1386;1153;640;570;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1986;780;751;913;908;1090;1398;1485;1633;1235;1089;838;532;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1987;513;577;658;995;1288;1360;1382;1485;1474;1437;810;403;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1988;496;676;735;943;1108;1230;1657;1607;1422;1242;785;528;USC00047473;33.9669;-117.3614;300.5;CA
USC00047473;1989;400;518;825;1113;1103;1346;1587;1471;1356;1062;708;432;USC00047473;33.9669;-117.3614;300.5;CA
