STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,-5.3780,-5.9590,-2.1130,0.4360,3.0860,6.8390,8.9650,8.6590,4.6810,1.1010,-2.8800,-6.3090,USC00040029,41.1936,-120.9447,1279,CA
USC00040136,6.3830,6.6960,7.6770,9.3530,10.9150,13.6020,16.5080,16.9470,16.2280,12.4290,8.6470,6.3870,USC00040136,32.8358,-116.7775,517,CA
USC00040161,-8.4000,-7.2150,-3.8540,-2.3080,0.6860,4.6690,6.2650,5.6080,1.7120,-2.7620,-5.4010,-8.5000,USC00040161,41.4931,-120.5528,1341,CA
USC00040192,7.9890,8.4280,9.8950,11.9520,13.8110,15.7750,17.8800,18.0730,17.0400,14.1140,10.4380,7.8770,USC00040192,33.8647,-117.8425,102,CA
USC00040212,3.2380,3.4010,3.9060,6.0040,7.8100,10.3720,12.3720,11.8780,11.4870,9.1150,4.7500,2.8920,USC00040212,38.5731,-122.4406,523,CA
USC00040232,3.2660,5.4230,7.3900,9.0180,11.7220,14.1560,14.6700,14.1240,13.6180,10.7850,7.1170,3.3550,USC00040232,37.9856,-121.7458,18,CA
USC00040343,0.9730,2.5640,4.0600,6.5280,9.9190,14.4240,17.6600,17.3490,13.8800,9.2030,4.0810,1.0310,USC00040343,36.4914,-118.8253,521,CA
USC00040379,1.6380,2.9240,4.3800,7.3990,10.5160,14.9970,18.7540,18.3280,14.8380,10.3380,4.5540,1.7200,USC00040379,37.0919,-119.5128,637,CA
USC00040383,3.2090,4.8300,6.4370,8.2280,10.8130,14.3810,17.3220,16.7120,14.8560,11.1510,6.3870,3.2100,USC00040383,38.9072,-121.0839,394,CA
USC00040436,1.7030,4.2820,8.1640,12.2800,16.5850,21.8800,24.9310,24.0170,19.2630,12.1290,6.0530,1.3340,USC00040436,35.2761,-116.0628,293,CA
USC00040449,2.6030,3.7650,5.1280,7.9700,10.9470,15.0080,19.0170,18.8920,16.0400,11.0030,6.0300,2.8310,USC00040449,36.9092,-119.0883,524,CA
USC00040521,1.0670,2.7270,5.6030,9.1410,12.4880,17.4790,20.3000,19.3550,15.8400,10.6930,4.5290,0.6440,USC00040521,34.8928,-117.0219,677,CA
USC00040673,1.9790,3.0810,4.4250,5.3280,6.9880,9.0050,9.6970,9.9030,8.9750,6.5670,3.6990,1.8250,USC00040673,37.0856,-122.0797,128,CA
USC00040693,5.2240,6.4290,7.4520,8.2690,9.2870,10.9610,11.4480,11.8360,11.8750,10.5730,7.9400,5.3240,USC00040693,37.8744,-122.2606,95,CA
USC00040738,1.8030,1.8700,3.0240,4.6260,6.6670,10.5280,12.0410,11.6010,9.1930,6.0910,3.8330,2.1340,USC00040738,40.7406,-123.2078,382,CA
USC00040741,-6.9850,-6.2340,-4.2230,-1.5760,1.2460,5.0070,7.9860,7.4410,4.1840,-0.3380,-4.0290,-7.0110,USC00040741,34.2442,-116.9039,2060,CA
USC00040790,5.8820,5.1420,5.8400,6.1360,7.2820,9.0230,9.7890,9.9350,10.3030,8.2220,6.5300,4.2930,USC00040790,36.2472,-121.7803,61,CA
USC00040924,3.9540,5.9010,8.9920,12.6850,16.5290,20.8200,25.0070,24.2750,19.7500,13.4130,7.3060,3.5230,USC00040924,33.6131,-114.5972,82,CA
USC00040931,-12.4410,-10.9280,-6.7920,-4.6460,-2.2730,0.8540,2.2900,1.7200,-0.9790,-4.0960,-7.1220,-10.7450,USC00040931,39.3886,-120.0936,1699,CA
USC00040943,-16.7340,-14.6390,-11.6920,-8.3210,-5.2990,-1.2420,0.4570,-0.0210,-3.5300,-7.9840,-11.8190,-16.0440,USC00040943,38.2119,-119.0142,2551,CA
USC00040983,5.8460,7.0600,9.3290,12.0140,14.9640,19.5300,22.9130,22.6140,19.2690,14.6970,8.8180,5.4770,USC00040983,33.2314,-116.4144,245,CA
USC00041018,-2.1700,-2.7550,-1.2680,1.0670,4.1720,8.8400,11.5800,11.7300,8.9080,5.3960,0.4130,-2.0010,USC00041018,39.4539,-120.6556,1641,CA
USC00041048,4.3160,5.9920,8.7070,11.8420,14.9830,18.9240,23.3550,23.8460,20.1840,14.3250,7.9740,4.1040,USC00041048,32.9544,-115.5581,-31,CA
USC00041072,-14.4120,-11.6180,-6.8660,-4.8660,-1.3090,2.4050,4.6710,3.6740,-0.1200,-5.6680,-9.0270,-12.5080,USC00041072,38.2575,-119.2286,1972,CA
USC00041214,-9.3070,-7.3470,-5.2810,-3.4090,-0.8330,3.0040,3.5490,2.3280,-0.5470,-4.5410,-6.3430,-8.6270,USC00041214,40.8803,-121.6547,975,CA
USC00041244,2.1880,4.3280,7.0760,9.4500,12.5950,16.2240,18.6480,17.8900,14.9080,9.5070,4.5840,1.2000,USC00041244,35.4047,-119.4731,82,CA
USC00041253,3.2210,4.0560,5.2310,6.4170,7.8950,9.5950,10.8960,11.1550,10.4120,8.4920,5.5530,2.8810,USC00041253,34.5825,-119.9817,239,CA
USC00041277,-1.9200,-2.2210,-0.7810,1.4480,4.4060,8.3950,10.9900,11.0670,8.3550,4.3620,0.1730,-2.0030,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,2.2960,3.4410,4.5930,5.9330,7.5190,9.9840,11.3270,11.3820,10.1920,7.4920,4.3980,1.9900,USC00041312,38.5961,-122.6014,122,CA
