STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
AQW00061705;87.6;88;88.1;87.5;86.2;85;84.2;84.3;85.3;85.8;86.6;87.4
CAW00064757;27;30.1;38.9;52.9;66;73.5;78.9;77.2;70.0;56.9;43.6;32.3
CQC00914080;81.2;79.7;79.8;83.1;84.4;85;84.1;84;83.8;83.7;83.3;81.4
CQC00914801;83.6;83.2;83.9;85.2;86.5;87.3;86.7;86.5;86.7;86.5;85.9;84.8
FMC00914395;87.1;87.4;87.5;87.5;87.7;88;88.3;88.8;89.0;88.9;88.6;87.5
FMC00914419;88.4;88.3;88.5;88.5;88.6;88.8;88.7;88.6;89.0;88.8;89.2;88.6
FMC00914446;86;86.1;86.9;88.3;88.4;87.9;86.9;86.5;86.9;87.3;87.6;86.7
FMC00914482;85.5;85.6;86;86.3;87.2;87.4;87.5;88;88.1;88.1;87.6;86.2
FMC00914720;89;89.7;89.6;89.8;89.9;89.8;89.6;89.5;89.6;89.5;89.5;89.3
FMC00914761;89.4;89.5;90;89.7;89.9;89.9;90;89.6;89.8;90.2;90.3;89.8
FMC00914831;85.3;85.1;85.9;86.8;87.1;86.7;86.4;86.2;86.2;87.0;86.5;85.7
FMC00914892;87.1;87.1;87.3;88.1;88.4;87.8;87.3;87.5;88.0;88.9;88.5;87.6
FMC00914898;87;87.6;87.4;87;87.5;87.3;87.9;87.9;87.8;88.1;87.9;87.5
FMC00914911;87.6;87.4;87.6;88.4;88.2;87.8;88;87.9;88.2;88.4;88.7;87.9
FMW00040308;86.9;87;87.7;88.5;88.7;88;87.5;87.2;87.6;88.1;88.0;87.3
FMW00040504;86.8;87.1;87.6;87.8;88;88.1;88.6;89.2;89.3;89.3;88.8;87.5
FMW00040505;85.5;85.7;86.1;86.4;86.9;86.7;86.6;86.5;86.6;86.8;86.8;86.1
GQC00914025;82.8;82.7;83.5;84.8;85.7;86.1;85.3;85.2;85.5;85.3;84.4;83.5
GQW00041415;84.9;84.9;85.8;87.3;87.9;87.9;87.1;86.5;86.7;86.8;86.5;85.6
JQW00021603;83.2;83.4;83.7;84.7;85.9;87.5;88.3;88.9;88.7;87.5;85.3;83.9
PSC00914519;86.2;86.1;86.7;88.1;87.9;86.9;86.2;86.3;87.0;86.7;87.3;87.0
PSC00914712;82.3;81.9;82.8;84;83.8;82.8;82.8;83.1;83.7;84.0;84.3;83.0
PSW00040309;86.5;86.4;87.1;87.8;87.7;86.8;86.1;86;86.5;87.0;87.8;87.2
RMW00040604;85.4;85.8;86.4;86.5;86.8;86.5;86.5;86.8;87.0;86.8;86.4;85.7
RMW00040710;85.5;85.9;86.1;86.1;86.4;86.3;86.4;86.7;86.9;86.9;86.6;85.9
RQC00660061;79.6;79.9;80.9;81.6;82.8;84.6;85;85.3;84.8;84.2;82.3;80.1
RQC00660152;85.8;85.6;85.9;87;88;88.7;89.4;90.2;89.7;89.1;88.2;86.6
RQC00660158;73.3;73.6;75.6;77.2;79;80;81.3;81.3;80.4;79.3;76.3;74.1
RQC00660410;85.8;85.4;86.5;87.6;88.8;90.1;90.6;90.8;91.5;90.3;87.5;86.5
RQC00660426;81.6;82.1;83.4;84.3;85.5;87.4;87.3;87.4;87.1;86.2;83.7;81.9
RQC00661901;77.5;77.9;79.2;81;82.2;83.7;83.8;84.4;84.2;83.2;80.7;78.2
RQC00662336;65.5;65.8;66.6;67.2;68;70.4;71.6;71.4;71.1;70.6;68.7;66.0
RQC00662801;85;85.1;86;87.2;88.4;89.8;89.8;90.1;89.8;88.9;87.4;85.5
RQC00662934;82.5;83;84.6;86.2;87.6;89.4;88.9;89.4;88.9;88.1;85.2;83.1
RQC00663409;78.6;78.2;80.9;84.1;86.1;87.8;85.4;87.1;87.0;84.0;84.8;82.9
RQC00663431;83.5;83.9;84.7;85.7;87.1;89.3;89.4;89.6;89.1;88.1;85.6;83.9
RQC00663657;84.1;84.4;85;86.8;88.3;89;89.1;89.7;89.3;88.6;87.0;85.2
RQC00664193;84.7;85.2;85.4;86.7;87.7;88.6;89.3;89.8;89.2;88.7;87.5;86.2
RQC00664276;84.5;84.6;85.9;87.3;88.3;89.7;89.9;90.5;90.1;89.4;87.4;85.1
RQC00664702;82;82.5;83.4;84.5;85.6;86.9;87.2;87.7;87.6;86.9;84.7;82.8
RQC00665064;83.8;83.9;85.1;86.6;87.7;88.5;89.3;89.8;89.6;88.6;86.4;84.4
RQC00665097;87.1;86.9;87.5;88.5;89.6;91.2;92.1;91.8;91.2;90.2;89.1;87.6
RQC00665693;86.6;86.5;86.9;87.9;89;90.3;91.4;91.4;91.1;90.5;88.8;88.1
RQC00665807;82;82.4;83.6;84.6;86.2;88.2;87.6;88.3;87.9;87.3;84.9;82.9
RQC00665908;76.3;76.2;78.6;77.7;79;80.7;80.4;80.7;80.6;79.7;78.2;76.2
RQC00666073;85.8;86.3;86.9;87.7;88.9;90.7;90.6;90.5;90.7;90.2;88.5;86.5
RQC00666258;84.9;85.1;85.8;87.9;89.8;91.3;91.6;92;91.4;90.6;87.5;85.8
RQC00666992;65.7;65.6;66.8;68.1;69;69.7;70.3;71.2;71.9;71.2;69.2;66.9
RQC00667292;87;86.9;87.1;88;88.8;90.2;91.2;91.5;90.8;89.9;88.9;87.6
RQC00668126;84.3;84.8;85.5;86;87.9;88.9;89.5;89.2;90.2;88.6;86.0;84.4
RQC00668306;84.3;84.7;86.1;86.9;88.3;89.9;89.6;90.3;90.0;89.3;86.7;84.8
RQC00668881;88.9;88.9;89.7;90.7;91.6;92.6;93.3;92.8;92.9;92.0;90.7;89.3
RQC00669521;84.2;84.6;85.7;87.1;88.3;89.7;89.9;90.1;90.3;89.2;86.9;84.8
RQC00669608;84.8;84.6;85.9;86.3;87.6;89;89.6;89.6;89.5;88.6;86.3;84.9
RQW00011603;83.6;84.1;84.7;85.7;86.7;88.8;88.5;88.9;88.6;87.8;86.3;84.6
RQW00011630;83.4;83.3;84.3;85.8;86.8;88.1;88.8;89.3;88.9;88.1;86.2;84.4
RQW00011641;83.2;83.7;84.9;86.2;87.5;88.9;88.7;89.2;89.2;88.4;85.9;83.9
USC00010063;50.3;54.4;63.1;71.3;79;85.4;88.6;89.5;83.2;73.3;63.3;52.4
USC00010160;55.2;59.3;67.6;74.8;81.7;87.7;90.7;89.9;84.8;76.0;66.8;57.3
USC00010178;55.7;60.4;69.1;76.7;83.6;90.2;92.3;92.3;87.4;77.6;67.6;58.3
USC00010252;60.9;65.2;72.2;78.3;85;90;91.7;91.1;87.6;79.9;71.6;62.9
USC00010260;48.8;52.9;62.4;71.2;78.3;85.6;89.2;89.2;83.1;72.7;61.4;51.2
USC00010369;54.2;58.6;66.6;74;80.8;86.9;89.6;89.4;84.0;75.1;66.1;56.3
USC00010390;50.2;55;63.9;72.6;79.9;86.7;89.4;89.9;84.6;73.8;63.0;52.9
USC00010402;59.1;63.3;70.5;77.3;84.6;89.5;91.2;90.6;86.9;78.8;69.9;61.2
USC00010425;56.7;61.7;68.6;75.4;82.6;88.1;90.3;89.2;84.4;75.4;66.6;57.9
USC00010430;56.1;60.4;67.9;74.6;82.6;88.3;90.8;89.8;85.7;76.8;67.8;58.2
USC00010505;53.2;57.9;66;74.1;81.2;88.2;91;90.7;85.4;75.4;65.6;55.5
USC00010583;59.9;63.6;70.6;77.1;83.9;88.5;90.2;90;86.5;78.3;69.7;61.7
USC00010655;49.9;54.4;63.4;72.3;80.4;87.6;90.6;90.8;84.9;74.5;63.3;52.6
USC00010764;53.6;58.4;66.7;74.6;81.5;88;90.9;90.8;85.3;75.1;65.2;55.7
USC00011080;59.7;63.5;70.7;77.3;84.6;89.5;91.2;90.8;87.0;78.8;70.2;61.7
USC00011084;61.6;65.6;72.7;78.8;85.3;90;91.7;91.3;87.3;79.5;71.5;63.3
USC00011099;48.4;53.4;62.7;71.8;78.7;85.6;88.9;88.3;82.3;72.1;61.8;51.2
