STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00044523;31.1;33.3;36.7;41.5;48.8;56.3;62.5;61.5;55.1;46.2;36.2;30.8;USC00044523;35.7831;-118.4389;823.9;CA
USC00044534;36.3;39.7;44;47.8;55.4;61.4;67.2;65.4;60.2;51.6;40.6;35.6;USC00044534;36.0042;-119.96;73.2;CA
USC00044555;37.7;40.2;42.1;43.5;47.1;50.4;53.1;53;51.1;46;40.5;36.9;USC00044555;36.2069;-121.1378;97.5;CA
USC00044577;35.8;36.5;38.1;39.9;44;47.6;50.4;50.8;47.4;42.9;38.8;35.5;USC00044577;41.5786;-124.0747;8.5;CA
USC00044647;44;45;47.3;49.5;54.3;57.6;60.5;60.3;59.2;54.4;47.9;43.1;USC00044647;33.5453;-117.7814;13.4;CA
USC00044671;29.7;30;32;35.6;42.2;49.3;56.8;57;51.1;42.2;34.8;29.6;USC00044671;34.2467;-117.1883;1586.5;CA
USC00044712;38.3;41.7;44.8;47.9;53.5;58.9;60.2;58.6;56.4;50.9;44;38.3;USC00044712;38.4919;-122.0039;57.9;CA
USC00044713;25.4;25.5;27.7;30.6;36.6;42.7;47.8;46.7;43.1;36.6;29.6;25.1;USC00044713;39.3183;-120.6392;1571.5;CA
USC00044735;46.5;47.5;49.7;52.6;56.5;59.8;63.4;64.7;62.8;57.6;50.8;45.9;USC00044735;32.7675;-117.0233;161.5;CA
USC00044838;22.9;24.6;27.8;31.6;38;44.2;51.1;50.3;44;35.9;27.3;22.3;USC00044838;41.7019;-121.5011;1453.9;CA
USC00044881;19.6;22.2;27.1;32.3;39.6;47;53.2;51.7;44.8;35.8;27.6;20.8;USC00044881;37.9567;-119.1194;2071.7;CA
USC00044890;37.7;41.4;44.7;47.4;53.2;58.9;63.9;62.2;57.9;50.5;42.2;37;USC00044890;36.3817;-119.0264;156.4;CA
USC00044957;37.1;39.7;43.1;46.3;52.3;58.2;63.5;61.4;56.3;48.4;40.8;35.7;USC00044957;36.2033;-119.0545;132.6;CA
USC00044997;39;41.5;43.9;46;50.2;54.2;56.8;56.7;54.9;50;43.4;39.1;USC00044997;37.6922;-121.7692;146.3;CA
USC00045026;16.1;17.5;21.5;25.6;32.7;39.2;45.1;43.8;38.4;30.7;23;16.6;USC00045026;36.6044;-118.7325;2052.8;CA
USC00045032;38.5;40.8;43.4;46;51.1;55.3;57.6;56.8;54.6;49;42.2;37.7;USC00045032;38.1061;-121.2878;12.2;CA
USC00045064;42.3;44;45.8;47;50.3;53;55.4;55.9;54.6;51;45.5;41.6;USC00045064;34.6539;-120.4514;29;CA
USC00045118;38.5;42.2;45.7;48.6;54.7;59.5;63.1;61.9;59;52.2;43.8;37.7;USC00045118;37.0564;-120.8667;36.6;CA
USC00045120;39.1;43;46.1;49.4;55.2;60.6;64.6;63.5;61;54.3;45.7;39.1;USC00045120;36.9897;-120.9297;124.1;CA
USC00045123;38.9;41;42.9;44.6;48.7;52.4;55.4;55.2;53.2;48.8;42.7;39.1;USC00045123;37.2319;-121.9592;111.3;CA
USC00045233;36.8;39.2;43.1;46.5;52.9;58.5;62.9;61.6;57.1;48.4;40.5;35.8;USC00045233;36.9539;-120.0378;82.3;CA
