STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
AQW00061705;77.3;77.5;77.5;77.3;77.3;76.9;76.3;76.3;76.7;76.9;77.3;77.3
CAW00064757;10.8;12.6;20.2;33.3;43.4;53;57.2;54.9;47.8;38.1;29.6;18.4
CQC00914080;73.4;72.9;73.1;73.9;75.5;75.3;75.1;75.2;75;74.9;75;74.1
CQC00914801;74;73.3;74.1;75;75.6;76.1;75.4;75;74.8;75.1;75.3;75.2
FMC00914395;73;73.1;73.1;73.4;73.5;73.1;72.6;72.5;72.2;72.4;72.2;72.5
FMC00914419;75;75.1;75.1;75.1;75.3;75;74.8;75;75.1;75.1;75.1;75.2
FMC00914446;77;76.7;76.8;77.5;77.9;77;76;75.6;75.9;76.2;76.9;77.3
FMC00914482;72.8;72.5;72.8;72.6;71.8;71.2;70.3;71.2;70.3;70.4;70.9;72
FMC00914720;74.1;74.7;74.4;74;74.5;74.4;73.8;74.2;74.1;74.3;73.7;74.6
FMC00914761;73.6;73.6;73.9;73.6;73.6;73.3;73;72.9;73.1;73.3;73.7;73.7
FMC00914831;75;75;75.7;76.1;76.5;75.6;75.2;75.3;75.2;75.1;75.9;75.6
FMC00914892;77.3;77;77.6;78.5;78.5;78.1;77.7;77.5;77.9;77.8;78.5;77.9
FMC00914898;75.2;75.7;75.6;75.3;75.6;75.2;75;74.9;75.2;75.3;75.5;75
FMC00914911;75.4;74.9;74.6;75;75;74.7;74.5;74.2;74.1;74.5;74.5;75.3
FMW00040308;77.5;77.3;77.5;78.2;78.7;77.9;77.6;77.5;77.5;77.6;77.8;78
FMW00040504;74.5;74.7;74.7;74.5;74.4;74;73;72.7;72.4;72.4;73;74
FMW00040505;76.9;76.9;77.2;77.2;77.3;76.8;76.4;76.1;76.3;76.2;76.8;77.1
GQC00914025;75.8;75.4;76;77.1;78.1;78.2;77.1;76.8;76.9;77.3;77.5;76.9
GQW00041415;75.5;75;75.6;76.5;77.2;77.4;76.6;76.3;76.2;76.5;77.2;76.8
JQW00021603;73.4;73.4;73.5;74.2;75.4;77;77.7;78.3;78.1;77.5;76;74.3
PSC00914519;71.8;72.1;72.1;72.8;73.3;73.2;73.4;73.7;73.5;73.1;73;72.7
PSC00914712;75.9;75.8;76;76.4;76.6;75.6;75.6;76.1;76.3;76.2;76.3;76.1
PSW00040309;76.3;76.1;76.3;76.9;77;76.4;76.4;77;77;77.1;77;76.7
RMW00040604;78;78;78.2;78.5;78.7;78.4;78.1;78.1;78.1;78.3;78.2;78.3
RMW00040710;77.8;77.9;78;78.1;78.3;77.9;77.8;77.9;77.9;77.8;77.9;77.7
RQC00660061;53.7;53.1;53.9;56.9;59.6;61.2;61.1;60.9;60.8;59.7;59;56.1
RQC00660152;67.1;67.5;67.8;69.7;72.4;74.1;74.1;74.1;73.2;72.2;70.7;68.3
RQC00660158;61.7;60.8;61.3;63.1;65.7;67.1;67;67.8;67.6;67.1;64.7;63.8
RQC00660410;64.4;61.9;64;66.6;68.9;70.1;70.8;70.9;70.5;69.6;67.8;65.5
RQC00660426;62.9;62.1;62.8;64.5;66.8;68;68.7;68.8;68.8;67.8;67;64.4
RQC00661901;61.8;61.1;61.4;63.4;66.6;69.1;69.4;68.6;67.7;66.9;65.4;62.6
RQC00662336;56;55.7;56.4;57.9;59.8;62;62.3;62.4;61.8;61.7;59.3;57.6
RQC00662801;64.5;64.2;65.2;67;69.8;70.4;71;71.3;70.9;69.7;68.9;65.8
RQC00662934;64;63.3;64;65.4;68;69.6;70.2;70.4;69.8;68.7;67.6;65.1
RQC00663409;65.7;67.3;67.3;69.6;71.5;72.4;73.5;73.4;72.9;71.9;71;68
RQC00663431;63.9;63.1;63.6;65.8;68.4;69.8;70.6;70.8;70.2;69.4;68.1;65.6
RQC00663657;69;69;69.8;71.2;73.1;75.2;75.7;74.9;74.1;73.6;72.3;70.6
RQC00664193;71.6;71.5;71.9;73.5;75.3;76.3;76.8;77.2;76.2;75.5;74.3;72.7
RQC00664276;62.9;62.8;63.8;66.4;69.8;71.3;71;71.2;70.8;69.8;67.9;65
RQC00664702;65.8;66;66.4;67.8;70;71.2;71.7;72.3;71.7;71.1;69.8;67.9
RQC00665064;64.5;64.6;65.3;67.5;70.6;72.5;72.4;72.1;71.7;70.9;68.9;65.9
RQC00665097;62.2;62;63.5;66.2;69.4;70.5;70.2;70.3;70.1;69.1;67;63.1
RQC00665693;69;69;69.8;72.3;74.6;76;75.6;75;75.3;74.5;72.3;69.8
RQC00665807;66.8;66.1;66.8;68.4;70.9;72.5;73.4;73.2;72.9;71.7;70.1;68
