STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00044523;15.6;17.0;19.3;22.3;27.2;32.3;36.4;36.3;32.7;26.7;19.8;15.6;USC00044523;35.7831;-118.4389;823.9;CA
USC00044534;13.2;17.3;20.4;24.4;29.4;33.2;36.3;35.8;32.9;27.1;19.1;13.7;USC00044534;36.0042;-119.96;73.2;CA
USC00044555;17.6;18.9;21.2;23.6;26.2;28.5;29.7;29.8;29.7;26.6;20.9;17.0;USC00044555;36.2069;-121.1378;97.5;CA
USC00044577;11.9;12.8;13.3;13.8;15.9;17.4;18.3;18.4;18.4;17.0;13.7;11.5;USC00044577;41.5786;-124.0747;8.5;CA
USC00044647;19.8;19.9;20.6;21.9;22.8;23.8;26.0;26.7;26.6;24.8;22.0;19.5;USC00044647;33.5453;-117.7814;13.4;CA
USC00044671;6.8;7.4;11.0;15.0;19.9;24.4;27.2;27.2;23.7;17.1;10.7;6.4;USC00044671;34.2467;-117.1883;1586.5;CA
USC00044712;13.2;16.4;19.6;22.8;27.7;32.4;35.8;35.0;32.2;26.4;18.5;13.3;USC00044712;38.4919;-122.0039;57.9;CA
USC00044713;6.9;7.9;10.2;13.3;18.3;23.6;27.5;27.3;24.3;18.2;10.3;6.2;USC00044713;39.3183;-120.6392;1571.5;CA
USC00044735;20.8;20.7;21.4;23.2;24.1;26.2;28.9;29.9;29.6;26.3;23.1;20.5;USC00044735;32.7675;-117.0233;161.5;CA
USC00044838;5.5;7.3;10.5;13.9;18.7;23.9;29.3;29.3;24.9;18.1;9.2;4.8;USC00044838;41.7019;-121.5011;1453.9;CA
USC00044881;4.5;6.3;10.4;14.4;19.2;24.6;28.8;28.1;24.0;18.2;11.4;5.4;USC00044881;37.9567;-119.1194;2071.7;CA
USC00044890;13.9;17.4;20.8;24.3;29.3;33.6;36.7;36.1;33.1;27.2;19.3;13.8;USC00044890;36.3817;-119.0264;156.4;CA
USC00044957;14.5;17.9;21.3;24.9;29.4;33.3;36.2;35.7;32.9;26.9;19.4;14.4;USC00044957;36.2033;-119.0545;132.6;CA
