STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00044523;-0.5;0.7;2.6;5.3;9.3;13.5;16.9;16.4;12.8;7.9;2.3;-0.7;USC00044523;35.7831;-118.4389;823.9;CA
USC00044534;2.4;4.3;6.7;8.8;13.0;16.3;19.6;18.6;15.7;10.9;4.8;2.0;USC00044534;36.0042;-119.96;73.2;CA
USC00044555;3.2;4.6;5.6;6.4;8.4;10.2;11.7;11.7;10.6;7.8;4.7;2.7;USC00044555;36.2069;-121.1378;97.5;CA
USC00044577;2.1;2.5;3.4;4.4;6.7;8.7;10.2;10.4;8.6;6.1;3.8;1.9;USC00044577;41.5786;-124.0747;8.5;CA
USC00044647;6.7;7.2;8.5;9.7;12.4;14.2;15.8;15.7;15.1;12.4;8.8;6.2;USC00044647;33.5453;-117.7814;13.4;CA
USC00044671;-1.3;-1.1;0.0;2.0;5.7;9.6;13.8;13.9;10.6;5.7;1.6;-1.3;USC00044671;34.2467;-117.1883;1586.5;CA
USC00044712;3.5;5.4;7.1;8.8;11.9;14.9;15.7;14.8;13.6;10.5;6.7;3.5;USC00044712;38.4919;-122.0039;57.9;CA
USC00044713;-3.7;-3.6;-2.4;-0.8;2.6;5.9;8.8;8.2;6.2;2.6;-1.3;-3.8;USC00044713;39.3183;-120.6392;1571.5;CA
USC00044735;8.1;8.6;9.8;11.4;13.6;15.4;17.4;18.2;17.1;14.2;10.4;7.7;USC00044735;32.7675;-117.0233;161.5;CA
USC00044838;-5.1;-4.1;-2.3;-0.2;3.3;6.8;10.6;10.2;6.7;2.2;-2.6;-5.4;USC00044838;41.7019;-121.5011;1453.9;CA
USC00044881;-6.9;-5.4;-2.7;0.2;4.2;8.3;11.8;10.9;7.1;2.1;-2.4;-6.2;USC00044881;37.9567;-119.1194;2071.7;CA
USC00044890;3.2;5.2;7.1;8.6;11.8;14.9;17.7;16.8;14.4;10.3;5.7;2.8;USC00044890;36.3817;-119.0264;156.4;CA
USC00044957;2.8;4.3;6.2;7.9;11.3;14.6;17.5;16.3;13.5;9.1;4.9;2.1;USC00044957;36.2033;-119.0545;132.6;CA
USC00044997;3.9;5.3;6.6;7.8;10.1;12.3;13.8;13.7;12.7;10.0;6.3;3.9;USC00044997;37.6922;-121.7692;146.3;CA
USC00045026;-8.8;-8.1;-5.8;-3.6;0.4;4.0;7.3;6.6;3.6;-0.7;-5.0;-8.6;USC00045026;36.6044;-118.7325;2052.8;CA
USC00045032;3.6;4.9;6.3;7.8;10.6;12.9;14.2;13.8;12.6;9.4;5.7;3.2;USC00045032;38.1061;-121.2878;12.2;CA
USC00045064;5.7;6.7;7.7;8.3;10.2;11.7;13.0;13.3;12.6;10.6;7.5;5.3;USC00045064;34.6539;-120.4514;29;CA
USC00045118;3.6;5.7;7.6;9.2;12.6;15.3;17.3;16.6;15.0;11.2;6.6;3.2;USC00045118;37.0564;-120.8667;36.6;CA
USC00045120;3.9;6.1;7.8;9.7;12.9;15.9;18.1;17.5;16.1;12.4;7.6;3.9;USC00045120;36.9897;-120.9297;124.1;CA
USC00045123;3.8;5.0;6.1;7.0;9.3;11.3;13.0;12.9;11.8;9.3;5.9;3.9;USC00045123;37.2319;-121.9592;111.3;CA
USC00045233;2.7;4.0;6.2;8.1;11.6;14.7;17.2;16.4;13.9;9.1;4.7;2.1;USC00045233;36.9539;-120.0378;82.3;CA
USC00045280;-9.6;-9.1;-6.4;-3.6;0.6;4.4;7.4;7.1;3.1;-1.8;-5.9;-8.6;USC00045280;37.6478;-118.9617;2378.7;CA
USC00045311;-5.9;-5.8;-4.2;-2.3;1.4;4.8;7.4;6.6;4.2;0.7;-3.3;-5.8;USC00045311;40.5411;-121.5767;1752.6;CA
USC00045360;1.8;2.8;4.3;5.7;8.8;11.8;13.5;12.8;11.4;8.2;4.5;2.0;USC00045360;38.4917;-122.1242;146.3;CA
USC00045378;2.0;3.4;4.8;5.9;8.0;10.1;10.6;10.7;9.9;7.7;4.4;1.9;USC00045378;38.0131;-122.1142;12.2;CA
USC00045385;4.1;5.9;7.6;9.3;12.8;15.7;17.6;16.6;14.9;11.1;7.0;4.2;USC00045385;39.1458;-121.5853;17.4;CA
USC00045449;-3.9;-3.2;-1.8;0.3;3.9;7.2;9.6;8.4;5.3;1.4;-1.8;-3.8;USC00045449;41.2514;-122.1383;999.7;CA
USC00045502;4.5;6.3;9.6;12.7;17.0;20.3;24.0;24.1;20.5;14.4;7.6;3.6;USC00045502;33.5714;-116.0767;-54.9;CA
USC00045532;2.9;4.3;5.9;7.6;11.2;14.1;16.5;15.7;13.4;9.2;5.2;2.6;USC00045532;37.2858;-120.5117;46.6;CA
USC00045679;-5.3;-5.1;-3.5;-1.9;1.2;4.2;6.2;5.2;3.0;-0.2;-2.9;-4.9;USC00045679;40.3458;-121.6092;1485.9;CA
USC00045721;4.1;4.7;6.8;9.6;14.6;19.7;22.8;22.1;18.6;13.2;7.4;3.6;USC00045721;34.9436;-115.5469;1325.9;CA
USC00045756;0.8;2.5;5.2;8.0;13.1;17.7;20.9;19.7;15.9;10.2;4.6;0.4;USC00045756;35.0492;-118.1619;833.6;CA
USC00045790;8.6;9.1;10.1;11.6;13.9;15.8;17.9;18.2;17.3;14.5;11.0;8.1;USC00045790;34.0192;-118.1053;75;CA
USC00045795;6.5;7.1;7.4;7.9;8.9;10.2;11.2;11.7;11.6;10.4;8.4;6.6;USC00045795;36.5903;-121.91;117.3;CA
USC00045802;5.4;6.7;7.4;8.5;9.8;11.1;12.2;12.4;11.7;9.9;7.6;5.4;USC00045802;36.5928;-121.8556;37.2;CA
USC00045853;5.4;6.7;7.9;9.3;11.3;13.4;14.4;14.4;13.4;11.4;7.6;5.6;USC00045853;37.1364;-121.6025;114.3;CA
USC00045866;7.0;7.9;8.5;8.7;10.1;11.4;12.8;13.1;12.6;11.2;9.2;6.9;USC00045866;35.3672;-120.8456;35.1;CA
USC00045892;-1.2;0.1;2.3;5.7;10.7;16.1;19.7;19.3;15.1;7.7;2.6;-1.9;USC00045892;35.4592;-115.5311;1456;CA
USC00045915;4.4;4.6;5.4;6.5;9.4;12.4;15.7;15.4;14.3;10.9;6.9;4.3;USC00045915;37.8792;-121.9303;661.4;CA
USC00045933;3.6;3.1;3.7;4.9;8.7;13.1;18.1;17.8;15.2;10.9;5.8;3.2;USC00045933;37.3436;-121.6425;1282;CA
USC00045968;1.3;1.1;2.7;4.3;8.1;11.5;15.5;14.9;12.1;6.8;3.9;0.9;USC00045968;32.8672;-116.4194;1804.4;CA
USC00046006;2.6;2.1;3.2;4.9;8.9;13.4;17.4;17.2;14.4;9.9;5.3;2.5;USC00046006;34.2308;-118.0711;1740.4;CA
USC00046074;4.1;5.5;6.4;7.3;9.8;11.9;12.8;12.8;11.8;9.6;6.5;4.2;USC00046074;38.2778;-122.2647;10.7;CA
USC00046136;1.4;1.7;2.9;4.4;8.2;11.8;15.1;14.6;12.4;8.3;3.7;1.3;USC00046136;39.2467;-121.0008;847.6;CA
USC00046144;5.6;7.3;8.7;10.1;11.8;13.5;14.3;14.7;14.2;12.1;8.6;5.7;USC00046144;37.5147;-122.0325;3;CA
USC00046154;0.6;1.8;2.9;4.1;7.6;10.6;13.5;12.9;10.5;6.3;2.4;0.3;USC00046154;34.9456;-119.6828;658.4;CA
USC00046161;6.7;6.5;7.9;9.5;11.6;13.8;16.7;17.8;16.6;12.8;9.1;6.8;USC00046161;34.3933;-118.5939;538;CA
USC00046168;3.1;4.8;6.3;7.7;10.9;13.8;15.9;15.3;13.6;9.9;5.6;2.9;USC00046168;37.2811;-121.0178;27.4;CA
USC00046172;0.9;1.7;4.2;6.3;9.4;12.3;15.1;14.7;11.8;8.1;3.8;0.8;USC00046172;37.95;-120.5333;236.2;CA
USC00046174;3.3;4.7;6.2;7.7;11.3;14.8;18.4;17.7;15.4;11.2;6.3;3.3;USC00046174;38.0047;-120.4864;292.6;CA
USC00046175;9.9;10.4;11.3;12.6;14.6;16.2;17.9;18.3;17.6;15.4;12.1;9.6;USC00046175;33.6025;-117.8803;3;CA
USC00046252;-0.9;-0.9;1.5;3.5;7.4;10.8;14.2;13.9;10.8;6.3;1.9;-0.3;USC00046252;37.2328;-119.5097;806.2;CA
USC00046263;7.6;7.9;9.3;10.3;13.2;15.2;17.4;17.7;16.6;12.9;9.5;7.2;USC00046263;34.2447;-118.525;289;CA
