id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,58.08,33.37,48.35,33.73,50.87,33.33,9.68,6.18,12.32,24.59,39.19,51.77,41.1936,-120.9447,1278.6,CA
USC00040136,117,106.03,109.71,25.29,15.23,7.67,4.62,3.5,5.38,10.31,29.94,43.35,32.8358,-116.7775,516.6,CA
USC00040161,38.92,23.35,42.3,27.4,44.37,27.1,7.23,6.71,11.25,16.03,35.96,37.51,41.4931,-120.5528,1341.1,CA
USC00040192,89.32,96.73,64.93,11.09,9.63,6.5,0.82,0,1.47,6.45,22.98,44.96,33.8647,-117.8425,102.1,CA
USC00040212,245.96,172.45,136.55,51.33,56.75,12.07,0,1.71,3.2,37.28,93.52,156.53,38.5731,-122.4406,522.7,CA
USC00040232,77.83,67.9,46.98,11.35,21.79,3.72,0,0.14,1.24,11.19,34.03,49.99,37.9856,-121.7458,18.3,CA
USC00040343,134.35,115.36,127.4,41.29,42.39,20.43,4.79,0.05,3.8,26.3,57.68,78.95,36.4914,-118.8253,520.6,CA
USC00040379,162.75,110.69,127.73,35.81,32.48,12.62,3.77,0.01,2.77,33.51,52.79,93.51,37.0919,-119.5128,637,CA
USC00040383,201.13,152.96,133.2,58.91,60.23,14.74,0.1,1.91,3.69,41.14,82.46,158.51,38.9072,-121.0839,393.8,CA
USC00040436,19.72,25.15,23.04,1.38,2.79,2.83,10.03,8.13,8.31,3.26,5.53,6.55,35.2761,-116.0628,293.2,CA
USC00040449,194.25,131.87,135.55,44.65,44.16,21.96,10.17,0,14.28,33.72,63.58,102.08,36.9092,-119.0883,524.3,CA
USC00040521,24.08,31.08,16.5,1.43,1.19,1.27,2.47,1.93,10.75,4.31,5.74,11.97,34.8928,-117.0219,676.7,CA
USC00040673,294.29,245.37,158.17,52.61,57.73,9.08,0.13,2.48,0.9,37.97,124.23,201.65,37.0856,-122.0797,128,CA
USC00040693,147.83,119.04,82.04,27.49,35.09,4.14,0.07,3.01,0.99,23.58,70.91,105.86,37.8744,-122.2606,94.5,CA
USC00040738,181.07,120.34,106.76,59.91,57.26,14.85,5.86,4.28,9.83,40.04,93.94,164.17,40.7406,-123.2078,381.9,CA
USC00040741,132.38,153.51,80.81,13.3,10.61,4.53,11.13,16.77,10.66,14.52,25.88,54.49,34.2442,-116.9039,2060.4,CA
USC00040790,281.59,222.32,154.94,53.02,42.61,11.85,2.01,3.71,2.07,29.24,99.93,177.44,36.2472,-121.7803,61,CA
USC00040924,18.25,19.27,15.88,1.02,0.74,0.1,3.44,10.4,16.7,3.58,2.09,15.05,33.6131,-114.5972,81.7,CA
USC00040931,101.04,81.37,66.24,28.89,38.34,17.16,11.06,9.89,24.73,25.6,46.35,96.48,39.3886,-120.0936,1699.3,CA
USC00040943,47.16,45.86,41.55,17.27,29.58,22.18,16.99,5.83,11.3,7.77,26.76,29.91,38.2119,-119.0142,2551.2,CA
USC00040983,41.01,38.12,25.22,3.77,2.49,0.86,4.02,7.73,8.46,0.48,4.46,14.5,33.2314,-116.4144,245.4,CA
USC00041048,17.76,14.11,11.85,1.35,1.29,0.15,0.76,6.38,4.52,0.8,2.79,12.9,32.9544,-115.5581,-30.5,CA
USC00041072,35.13,30.9,31.04,5.43,12.81,9.49,13.62,6.97,6.2,5.39,13.94,34.49,38.2575,-119.2286,1972.1,CA
USC00041214,133.3,92.2,92.05,54.65,59.38,23.35,11.14,7.22,4.78,32,63.87,116.65,40.8803,-121.6547,974.8,CA
USC00041244,36.29,39.58,42.42,6.19,9.71,2.05,0.21,0.08,0.93,8.53,12.27,22.72,35.4047,-119.4731,82,CA
USC00041253,152.24,185.25,128.72,15.62,19.87,2.43,0.36,0.03,3.05,17.46,28,83.49,34.5825,-119.9817,238.7,CA
USC00041277,313.12,211.26,200.27,92.69,86.26,37.19,7.4,0.78,10.71,57.28,105.67,212.25,38.2769,-120.3114,1431,CA
