id;anno;gen;feb;mar;apr;mag;giu;lug;ago;set;ott;nov;dic;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00040029;1981;293;363;393;223;614;117;0;3;305;703;1340;847;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1982;319;348;505;411;252;188;234;55;327;529;650;574;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1983;203;628;764;722;346;282;0;547;85;275;794;1479;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1984;5;430;414;336;237;264;51;198;206;476;1202;187;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1985;112;209;304;0;282;8;99;13;420;290;459;165;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1986;413;1511;680;453;520;63;81;0;542;178;160;165;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1987;214;344;489;345;314;289;274;0;23;25;395;522;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1988;513;87;188;394;264;145;0;0;20;17;874;288;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1989;536;261;689;101;412;297;0;252;338;307;315;5;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1990;272;227;526;168;647;163;38;257;213;277;207;187;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1991;109;122;844;340;897;78;167;3;0;148;648;186;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1992;53;172;343;132;5;203;50;43;0;710;66;767;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1993;983;424;631;448;287;646;0;221;127;561;150;388;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1994;46;192;325;320;481;125;99;0;118;0;706;509;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1995;971;526;856;1014;348;648;47;0;0;36;107;1201;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1996;1426;978;356;381;879;71;231;71;38;300;344;1333;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1997;1205;98;288;255;183;358;82;23;257;269;504;320;USC00040029;41.1936;-120.9447;1278.6;CA
