X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-120.9447,41.1936,USC00040029,28.8,44.08,49.52,31.53,38.88,18.16,7.77,13.25,24.79,30.77,63.96,44.19,41.1936,-120.9447,1278.6,CA,395.7
-116.7775,32.8358,USC00040136,51.1,61.34,93.56,30.3,6.24,3.63,6.64,7.37,9.7,17.27,70.97,57.98,32.8358,-116.7775,516.6,CA,416.1
-120.5528,41.4931,USC00040161,22.5,38.54,38.6,28.47,31.72,18.9,6.24,10.21,19.53,18.53,51.46,34.24,41.4931,-120.5528,1341.1,CA,318.94
-117.8425,33.8647,USC00040192,40.67,47.3,51.93,22.4,4.32,0.56,0.07,0.55,15.46,16.64,50.49,36.13,33.8647,-117.8425,102.1,CA,286.52
-122.4406,38.5731,USC00040212,170.37,186.83,172.92,48.86,22.92,4.41,0.26,2.04,29.28,58.52,185.35,160.35,38.5731,-122.4406,522.7,CA,1042.11
-121.7458,37.9856,USC00040232,54.97,46,61.17,20.73,9.2,2.12,0.2,0.28,11.8,17.01,56.89,41.95,37.9856,-121.7458,18.3,CA,322.32
-118.8253,36.4914,USC00040343,106.51,103.26,128.94,59.59,20.17,5.6,1.82,1.26,25.65,39.4,101.38,79.26,36.4914,-118.8253,520.6,CA,672.84
-119.5128,37.0919,USC00040379,108.28,105.96,125.37,45.16,19.31,3.41,0.83,1.9,21.73,35.89,94.71,81.18,37.0919,-119.5128,637,CA,643.73
-121.0839,38.9072,USC00040383,119.65,139.53,187.69,68.05,27.73,6.66,0.1,2.14,35.72,53.53,173.42,131.71,38.9072,-121.0839,393.8,CA,945.93
-116.0628,35.2761,USC00040436,13.01,6.59,10.86,7.47,3.33,2.11,11.01,18.94,4.41,5.13,13.14,9.86,35.2761,-116.0628,293.2,CA,105.86
-119.0883,36.9092,USC00040449,128.59,131.32,139.07,66.47,18.71,5.75,1.79,1.62,32.5,34.82,112.9,93.95,36.9092,-119.0883,524.3,CA,767.49
-117.0219,34.8928,USC00040521,23.3,10.01,22.09,6.61,4.01,1.15,8.61,13.18,8.98,5.85,14.6,15.55,34.8928,-117.0219,676.7,CA,133.94
-122.0797,37.0856,USC00040673,203.12,207.95,240.09,67.54,23.82,3.1,0.84,1.81,15.57,49.92,201.79,177.17,37.0856,-122.0797,128,CA,1192.72
-122.2606,37.8744,USC00040693,112.84,106.09,125.89,40.39,15.7,3.2,0.29,1.27,13.03,38.15,109.98,89.75,37.8744,-122.2606,94.5,CA,656.58
-123.2078,40.7406,USC00040738,131.15,123.96,126.69,45.4,36.5,10.12,4.77,12.74,31.08,66.72,182.42,153.86,40.7406,-123.2078,381.9,CA,925.41
-116.9039,34.2442,USC00040741,60.3,66.17,70.42,25.88,9.8,2.88,19.32,33.93,12.08,21.34,64.95,68.23,34.2442,-116.9039,2060.4,CA,455.3
-121.7803,36.2472,USC00040790,180.38,168.28,207.84,75.95,13.98,3.31,0.18,0.08,24.19,46.03,173.24,154.35,36.2472,-121.7803,61,CA,1047.81
-114.5972,33.6131,USC00040924,9.25,5.06,8.02,2.28,0.71,0.1,7.04,16.6,12.42,6.71,11.35,16.91,33.6131,-114.5972,81.7,CA,96.45
-120.0936,39.3886,USC00040931,68.1,98.62,85.52,29.09,15.24,14.33,18.03,13.24,39.54,43.38,113.86,67.26,39.3886,-120.0936,1699.3,CA,606.21
-119.0142,38.2119,USC00040943,31.55,41.41,43.55,17.42,13.61,24.45,22.54,16.15,21.56,15.91,34.58,24.58,38.2119,-119.0142,2551.2,CA,307.31
-116.4144,33.2314,USC00040983,21.3,27.25,26.83,4.3,0.91,0.58,12.44,20.36,10.64,8,17.77,25.04,33.2314,-116.4144,245.4,CA,175.42
-115.5581,32.9544,USC00041048,8.37,11.15,7.14,0.59,0.86,0.15,2.25,12.03,7.78,9.23,6.89,13.21,32.9544,-115.5581,-30.5,CA,79.65
-119.2286,38.2575,USC00041072,25.33,39.38,30.07,12.84,14.08,16.36,3.9,16.71,22.32,5.64,37.83,34.72,38.2575,-119.2286,1972.1,CA,259.18
-121.6547,40.8803,USC00041214,89.22,77.37,117.14,42.06,39.25,15.53,5.04,11.56,22.52,51.3,109.58,90.67,40.8803,-121.6547,974.8,CA,671.24
-119.4731,35.4047,USC00041244,27.57,20.31,30.82,13.69,1.49,2.33,0.51,2.13,5.74,6.9,21.28,14.4,35.4047,-119.4731,82,CA,147.17
-119.9817,34.5825,USC00041253,75.87,73.33,102.35,41.07,4.46,0.45,0.08,1.96,5.67,20.19,53.58,61.98,34.5825,-119.9817,238.7,CA,440.99
-120.3114,38.2769,USC00041277,206.76,251.59,254.72,103.17,42.46,9.92,2.75,2.58,44.94,99.36,241.79,186.33,38.2769,-120.3114,1431,CA,1446.37
-122.6014,38.5961,USC00041312,137.96,194,165.6,47.42,22.91,4.17,2.01,1.38,19.58,60.21,171.8,134.97,38.5961,-122.6014,121.9,CA,962.01
-122.8045,41.3111,USC00041316,72.59,68.49,65.67,30.6,26.53,16.58,10.24,6.95,19.5,36.34,98.2,79.58,41.3111,-122.8045,970.8,CA,531.27
-120.8433,38.2486,USC00041428,86.85,85.17,121.01,47.14,15,2.52,0.19,0.76,27.16,38.78,99.08,72.19,38.2486,-120.8433,200.6,CA,595.85
-118.5744,34.1819,USC00041484,59.26,56.76,80.86,29.17,2.23,0.21,0.56,3.76,8.46,28.79,58.4,53.69,34.1819,-118.5744,240.8,CA,382.15
-121.0883,40.1703,USC00041497,122.4,170.57,166.62,58.46,31.77,14.73,4.44,6.28,37.89,64.95,168.16,125.37,40.1703,-121.0883,1389.9,CA,971.64
